id,name,pos,team,depth,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,avg,tmsnap%,depth_ranking,avg_ranking,tmsnap%_ranking,depth_score,tm_snap,avg_norm,rating,games,max_team_rating,team_relative_rating,final_rating,height,weight,headshot_url,position,age,yoe,prevteam,aav,type,mv_link,market_value
0,Brandon Scherff,G,JAX,1.0,53.0,60.0,70.0,58.0,58.0,62.0,61.0,50.0,54.0,44.0,48.0,,70.0,59.0,84.0,67.0,46.0,69.0,59,98.1,1.0,121.0,44.0,1.0,0.981,0.8309859154929577,0.8911737871674491,17,0.897147730829421,0.9933411817734311,0.7453388272414018,77.0,315.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/anatrup32nwke2whu7vo",G,33.2,10.0,JAX,16500000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16729,6682311.0
1,Liam Eichenberg,OL,MIA,1.0,71.0,76.0,61.0,60.0,78.0,,69.0,65.0,61.0,53.0,68.0,68.0,71.0,72.0,68.0,33.0,26.0,35.0,60,90.9,1.0,105.0,87.0,1.0,0.909,0.8450704225352113,0.8747643974960877,17,0.9244913928012518,0.9462115107913671,0.712348057553957,78.0,308.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkzweawndduh9gpajpxs",G,27.2,4.0,MIA,2003620.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/72422,4946508.0
2,Shaq Mason,G,HOU,1.0,79.0,62.0,67.0,75.0,68.0,63.0,64.0,71.0,79.0,68.0,64.0,56.0,63.0,,50.0,4.0,,,62,84.3,1.0,85.0,114.0,1.0,0.843,0.8732394366197183,0.762393192488263,15,0.8804310641627544,0.865931727673944,0.6561522093717608,73.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h2j9pcx5k3kfbxgq1bb7",G,31.5,10.0,HOU,12000000.0,UFA,,12000000.0
3,Matt Pryor,G,CHI,1.0,,,90.0,60.0,71.0,66.0,,63.0,74.0,60.0,72.0,76.0,67.0,53.0,67.0,64.0,61.0,62.0,59,88.6,1.0,121.0,99.0,1.0,0.8859999999999999,0.8309859154929577,0.7625798122065728,15,0.921091392801252,0.8279089547101197,0.6295362682970838,79.0,332.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kz8cwakpz0vhxhggv37c",G,30.2,7.0,CHI,1175000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25307,5181352.0
4,Daniel Brunskill,G,TEN,1.0,,5.0,3.0,11.0,,5.0,14.0,7.0,77.0,54.0,59.0,67.0,55.0,64.0,70.0,61.0,69.0,62.0,40,62.4,1.0,186.0,165.0,1.0,0.624,0.5633802816901409,0.6721902973395931,16,0.9165101721439749,0.7334237172372579,0.5633966020660806,77.0,260.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a6jmwkcgsq34mnc0wvan",C,31.1,7.0,TEN,2750000.0,UFA,,2750000.0
5,Tyron Smith,OL,NYJ,1.0,51.0,57.0,73.0,74.0,72.0,63.0,57.0,62.0,58.0,25.0,,,,,,,,,59,87.6,1.0,121.0,105.0,1.0,0.8759999999999999,0.8309859154929577,0.5067198748043819,10,0.9085289514866979,0.5577366290586513,0.44041564034105585,77.0,320.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w7doljwg9c9jqwejqf8b",LT,34.2,14.0,NYJ,6500000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/7724,7485422.0
6,Lucas Patrick,OL,NO,1.0,36.0,59.0,56.0,74.0,44.0,,,73.0,43.0,,,,,68.0,55.0,55.0,,,51,58.5,1.0,162.0,169.0,1.0,0.585,0.7183098591549296,0.4394405320813772,10,0.9079862284820032,0.48397268405275945,0.3887808788369316,75.0,313.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zz7z5eaqcka3wktrdfhy",G,31.6,9.0,NO,1347500.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/19914,1958786.0
7,Dalton Risner,G,MIN,1.0,,,,,,,,,,,73.0,71.0,53.0,60.0,77.0,66.0,72.0,65.0,53,77.4,1.0,156.0,140.0,1.0,0.774,0.7464788732394366,0.38050829420970267,8,0.9205007824726134,0.4133709622577355,0.3393596735804148,77.0,312.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eoq3rmcid2utuq23ixzl",G,29.7,6.0,MIN,2410000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/29077,3354288.0
8,Kendall Lamm,OT,MIA,1.0,,30.0,41.0,,,,,,,51.0,68.0,68.0,54.0,72.0,,67.0,60.0,,34,47.8,1.0,199.0,187.0,1.0,0.478,0.4788732394366197,0.3435309859154929,9,0.9244913928012518,0.3715891663140076,0.3101124164198053,77.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pbt4yhecwuv2usfmdz94",RT,32.8,10.0,MIA,2575000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/17090,2947273.0
9,Shane Lemieux,C,NO,1.0,,,,74.0,,,,,,,19.0,,70.0,,,49.0,60.0,66.0,48,60.1,1.0,169.0,167.0,1.0,0.601,0.676056338028169,0.2610389671361502,6,0.9079862284820032,0.28749220962586897,0.25124454673810825,76.0,317.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tib2sr0owg8wvtuvu8z7",C,27.8,5.0,NO,1055000.0,UFA,,1055000.0
10,Will Hernandez,G,ARI,2.0,61.0,60.0,59.0,59.0,41.0,,,,,,,,,,,,,,56,92.4,161.0,144.0,79.0,0.6666666666666667,0.924,0.7887323943661971,0.2168017736045905,5,0.9079862284820032,0.2387720945581364,0.2171404661906955,75.0,327.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xbedq9brtbugivnybr3v",G,29.5,6.0,ARI,4500000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25133,4280700.0
11,Mark Glowinski,G,IND,3.0,,,,,,,,,,,,,62.0,,76.0,62.0,77.0,78.0,71,100.0,283.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.20370370370370372,5,0.9113862284820031,0.22350974519660102,0.2064568216376207,76.0,310.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ldqr5jlk57a6nrha4u8w",G,32.8,10.0,IND,1210000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16860,1656688.0
12,Cody Whitehair,G,OAK,2.0,60.0,36.0,64.0,8.0,,,,16.0,29.0,,,,,,4.0,1.0,3.0,,18,19.7,161.0,240.0,245.0,0.6666666666666667,0.19699999999999998,0.2535211267605634,0.20091150234741786,9,0.9003362284820031,0.22315163601287194,0.20620614520901037,75.0,309.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rp4zb2zxkhjosnuo6zer",G,32.7,9.0,LV,2500000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/19005,1860204.0
