player_name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_time_to_throw,ngs_avg_completed_air_yards,ngs_avg_intended_air_yards,ngs_avg_air_yards_differential,ngs_aggressiveness,ngs_avg_air_yards_to_sticks,ngs_passer_rating,ngs_completion_percentage,ngs_expected_completion_percentage,ngs_completion_percentage_above_expectation,headshot_url,Name,Position,Age,YOE,Prev Team,AAV,Type
Joe Flacco,00-0026158,2024,REG,162,248,1761.0,12,7.0,18.0,123.0,3,3,2215.0,651.0,87.0,2.9993858721668687,0,5.588957026193659,0.7075546323521819,9,26.0,0,1.0,1.0,2.0,-7.002136736351531,0,99.04,99.04,7,39.0,16.0,78.0,245.0,2.6931411290322584,6.704814814814816,8.738264462809918,-2.033449647995102,15.725806451612904,-0.2617355371900826,90.47379032258064,65.32258064516128,63.9281839222437,1.394396722917584,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",Joe Flacco,QB,40.1,17.0,IND,4500000,UFA
Josh Johnson,00-0026300,2024,REG,2,3,17.0,0,0.0,1.0,5.0,0,0,53.0,2.0,1.0,-1.8097355109639466,0,0.3018867924528302,0.0,4,1.0,0,0.0,0.0,0.0,-3.56283131003147,0,0.78,0.78,4,38.0,16.0,75.0,219.0,,,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbaye18gptzb1jpyswv8",Josh Johnson,QB,38.8,14.0,BAL,1377500,UFA
Case Keenum,00-0028986,2023,REG,34,53,291.0,1,3.0,6.0,60.0,0,0,377.0,146.0,14.0,-20.65132938160174,0,1.44357153106615,0.040419039095312914,2,1.0,0,1.0,0.0,0.0,-1.650933435827028,0,9.74,9.74,2,36.0,12.0,73.0,215.0,2.7674158496732026,3.5897826086956526,7.452500000000001,-3.862717391304348,20.09803921568627,-2.4592647058823527,55.56576797385621,64.29738562091504,64.83657012687497,-0.5391845059599412,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zj2xieg6nctsabgzu65n",Case Keenum,QB,37.0,12.0,HOU,3125000,UFA
Russell Wilson,00-0029263,2024,REG,214,336,2482.0,16,5.0,33.0,219.0,3,2,2668.0,1122.0,112.0,-0.9645129991215988,0,10.591329886787014,1.2347437409325086,43,155.0,2,2.0,2.0,16.0,-7.594189534254838,0,172.78,172.78,11,35.0,12.0,71.0,215.0,2.860523952095808,5.929579439252335,7.715980392156863,-1.7864009529045282,13.095238095238097,-1.408202614379085,95.61011904761904,63.69047619047619,61.968232854269445,1.7222433362067449,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre",Russell Wilson,QB,36.2,13.0,PIT,1210000,UFA
Teddy Bridgewater,00-0031237,2022,REG,49,79,683.0,4,4.0,7.0,45.0,0,0,704.0,307.0,32.0,0.3831824399777548,0,2.8350672607282292,0.30523962713942804,3,27.0,0,0.0,0.0,2.0,3.3702399597968906,0,38.02,38.02,5,31.0,10.0,74.0,215.0,3.1152053663570687,7.53804347826087,9.558595992822964,-2.0205525145620955,14.981827971463185,0.1568814792663474,87.88568821884208,63.89150625925428,62.3737733024194,1.5177329568348767,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q5p8afhezmpvc1xbwibf",Teddy Bridgewater,QB,32.2,10.0,DET,1210000,UFA
Jimmy Garoppolo,00-0031345,2023,REG,110,169,1205.0,7,9.0,14.0,101.0,0,0,1364.0,468.0,60.0,-19.161635413862108,1,5.848699342114885,0.4281019083343922,20,39.0,0,1.0,0.0,6.0,-2.7111202365194913,0,64.1,64.1,7,32.0,10.0,74.0,225.0,2.937744047619048,6.565636363636364,8.061393939393941,-1.495757575757577,15.976331360946746,-0.9143636363636358,77.65039447731755,65.08875739644971,65.99653875069505,-0.907781354245344,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lbyjizqecoq4onrgectw",Jimmy Garoppolo,QB,33.3,11.0,LAR,3178750,UFA
Jameis Winston,00-0031503,2024,REG,181,296,2121.0,13,12.0,24.0,130.0,5,2,2640.0,765.0,103.0,-26.844956939174565,4,6.205245238957251,0.6874011571163273,25,83.0,1,0.0,0.0,17.0,16.702675447857473,0,131.14,131.14,11,30.0,9.0,76.0,231.0,2.78802372881356,7.395027624309392,9.240833333333336,-1.845805709023942,17.56756756756757,0.5047222222222223,80.6447072072072,61.14864864864865,62.39709793212446,-1.2484492834758072,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/chdeosreuupotgq0eqlm",Jameis Winston,QB,31.1,10.0,CLE,4000000,UFA
Taylor Heinicke,00-0031800,2023,REG,74,136,890.0,5,4.0,8.0,47.0,0,0,1136.0,508.0,41.0,-1.6432791084098852,0,4.260695290591735,0.13366719763034482,15,124.0,1,1.0,0.0,5.0,10.075049788429169,0,66.0,66.0,5,31.0,9.0,73.0,210.0,2.8820298507462687,5.001621621621623,8.436953125,-3.435331503378378,13.23529411764706,-0.4067968749999999,74.69362745098039,54.41176470588235,63.12028652276186,-8.70852181687951,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fz9e0aufjyyo5raclwji",Taylor Heinicke,QB,31.9,9.0,LAC,7000000,UFA
Marcus Mariota,00-0032268,2022,REG,184,300,2219.0,15,9.0,28.0,195.0,4,1,3093.0,912.0,111.0,6.053635507238567,2,11.084404486051053,1.050729030496393,85,438.0,4,4.0,2.0,30.0,9.893773447169224,0,196.56,196.56,13,30.0,9.0,76.0,222.0,2.9343716216216214,6.990597826086956,10.231344827586208,-3.240747001499251,17.333333333333336,1.2623793103448278,88.18055555555556,61.33333333333333,63.12484233826399,-1.79150900493066,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9ribxqudeehvmjlw0va",Marcus Mariota,QB,31.3,10.0,WAS,6000000,UFA
Brandon Allen,00-0032434,2024,REG,17,30,199.0,1,2.0,2.0,2.0,2,1,241.0,116.0,8.0,-12.354177547361862,0,0.9299065420560748,0.008527822015022161,3,4.0,0,0.0,0.0,0.0,-0.9902776144444942,0,6.360000000000001,6.360000000000001,3,31.0,8.0,74.0,209.0,2.801586206896552,5.0317647058823525,7.318076923076922,-2.2863122171945696,6.896551724137931,-2.0280769230769238,76.65229885057471,58.620689655172406,65.07620359289234,-6.455513937719935,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xn9eheiy6kty4movmlak",Brandon Allen,QB,32.5,9.0,SF,2020000,UFA
Jeff Driskel,00-0032436,2023,REG,13,26,166.0,2,2.0,3.0,26.0,0,0,232.0,74.0,8.0,-10.957208045409061,0,0.7155172413793104,-0.030105234232513878,7,33.0,0,0.0,0.0,4.0,0.4751124630565755,0,13.940000000000001,13.940000000000001,1,31.0,8.0,76.0,235.0,2.7014230769230774,8.575384615384616,9.8808,-1.305415384615383,34.61538461538461,1.0807999999999998,63.9423076923077,50.0,56.46135016129568,-6.461350161295677,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qvyjv4da7ya6erhqx67m",Jeff Driskel,QB,31.8,9.0,WAS,1125000,UFA
Carson Wentz,00-0032950,2022,REG,172,276,1755.0,11,9.0,26.0,159.0,4,1,2147.0,826.0,85.0,-37.29265213974798,2,6.878199617547953,0.38308559566777034,22,86.0,1,2.0,0.0,4.0,6.074985710269046,0,112.8,112.8,8,31.0,8.0,77.0,237.0,2.5987934782608693,5.298895348837209,7.897777777777778,-2.598882428940569,17.02898550724638,-0.9318518518518514,80.20833333333334,62.31884057971014,65.76253418486728,-3.4436936051571365,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jtwkpwc18ivthztykkc8",Carson Wentz,QB,32.2,9.0,KC,3325000,UFA
Jacoby Brissett,00-0033119,2024,REG,95,161,826.0,2,1.0,18.0,119.0,3,1,1093.0,437.0,41.0,-38.16767835544852,1,4.715298146932257,0.20683477984890117,15,62.0,0,1.0,0.0,5.0,3.1165734097594395,0,45.24,45.24,7,31.0,8.0,76.0,235.0,2.8744250000000005,4.091263157894737,7.110794701986755,-3.0195315440920183,18.012422360248447,-1.928940397350993,74.18478260869564,59.00621118012423,59.77254987040662,-0.7663386902823959,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dps7iuuc2zwl68yppqux",Jacoby Brissett,QB,32.2,9.0,NE,8000000,UFA
Nick Mullens,00-0033319,2023,REG,100,148,1306.0,7,8.0,12.0,105.0,2,0,1380.0,477.0,57.0,12.29686876892386,0,4.836277016398081,0.5475398387109133,10,25.0,0,0.0,0.0,4.0,-0.023295919862791337,0,66.74000000000001,66.74000000000001,5,29.0,7.0,73.0,210.0,3.065013605442177,8.1991,9.78472222222222,-1.5856222222222218,16.89189189189189,0.3819444444444441,88.40090090090091,67.56756756756756,62.16199420191146,5.405573365656103,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xkbzegq3t29ean26xyp0",Nick Mullens,QB,29.9,8.0,MIN,2000000,UFA
