player_name,player_id,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_avg_rush_yards,ngs_expected_rush_yards,ngs_rush_yards_over_expected,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,headshot_url,Name,Position,Age,YOE,Prev Team,AAV,Type,MV_Link,market_value
Michael Burton,00-0031595,2023,REG,7,9.0,0,0.0,0.0,4.0,-4.633036294020712,1,3,3,8.0,0,0.0,0.0,2.0,6.0,2.0,0.5167685634223744,0,2.666666666666667,0.011644345238095238,0.011147338362528236,3.7,6.7,8,32.0,9.0,71.0,240.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/edfaq7s9wuzedbfcarrp",Michael Burton,FB,33.1,10.0,DEN,1210000.0,UFA,,1210000.0
Ameer Abdullah,00-0032104,2024,REG,66,311.0,2,1.0,1.0,14.0,-7.581538221371561,0,40,47,261.0,3,0.0,0.0,31.0,252.0,16.0,11.852883492729346,0,20.74117216117216,0.09990650960427667,0.12517573144690486,85.2,125.2,13,31.0,9.0,69.0,203.0,3.192973244147158,15.0,2.6675000000000004,4.825,66.12063898794017,10.879361012059832,0.3776860113431525,0.5421052631578948,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/atwi5p12mlgnsl4y8cgt",Ameer Abdullah,RB,31.8,10.0,LV,1850000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16778,1818811.0
D'Onta Foreman,00-0033925,2023,REG,109,425.0,4,1.0,0.0,24.0,-4.143150425195927,0,11,16,77.0,1,0.0,0.0,21.0,65.0,6.0,1.204451046185568,0,10.451428571428572,0.05710753857305581,-0.0025617968902794663,80.2,91.2,9,28.0,7.0,73.0,233.0,3.828047058823529,20.18348623853211,2.633693877551021,3.8990825688073394,418.77862707101326,8.221372928986739,0.0768352610185676,0.4299065420560747,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/shlxaet74pmn8arznphw",D'Onta Foreman,RB,28.8,8.0,CLE,1125000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/21831,2691900.0
Jamaal Williams,00-0033948,2023,REG,106,306.0,1,1.0,0.0,19.0,-26.248758762661247,0,18,20,62.0,0,0.0,0.0,-27.0,87.0,1.0,-7.395753533012436,0,7.627777777777777,0.04970704014568112,-0.12489177334807967,42.8,60.800000000000004,13,29.0,7.0,72.0,213.0,4.582712418300657,29.245283018867923,2.651135416666666,2.8867924528301887,404.5931472814769,-101.59314728147687,-0.9768571853988164,0.2884615384615384,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxrxpgcwq5qwp88vqnp3",Jamaal Williams,RB,29.9,8.0,NO,4000000.0,UFA,,4000000.0
Jeff Wilson,00-0034115,2022,REG,176,860.0,5,2.0,1.0,44.0,7.632931600141033,0,22,37,185.0,1,1.0,1.0,92.0,141.0,7.0,-8.737561003082606,0,40.58170995670996,0.0736603460414306,0.2935100998511357,136.5,158.5,16,28.0,6.0,72.0,194.0,3.527988372093024,20.454545454545457,2.7328625,4.886363636363637,789.7740065068883,69.22599349311167,0.3955771056749238,0.3485714285714286,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zorqrtlrizlltgd6pnob",Jeff Wilson,RB,29.3,7.0,MIA,3000000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25551,1342457.0
Gus Edwards,00-0034184,2024,REG,101,365.0,4,0.0,0.0,17.0,-13.124124479896064,0,3,5,6.0,0,0.0,0.0,-15.0,11.0,0.0,-3.101063936483115,0,-0.3333333333333333,0.01601010101010101,-0.07003744425365514,61.1,64.10000000000001,11,29.0,6.0,73.0,238.0,4.100328767123288,33.663366336633665,2.753234042553192,3.613861386138614,409.9711944011119,-37.97119440111192,-0.3797119440111192,0.34,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dyobqe3w5eypevsk3f2b",Gus Edwards,RB,29.9,7.0,LAC,3250000.0,UFA,,3250000.0
Mike Boone,00-0034208,2022,REG,24,102.0,0,0.0,0.0,6.0,-3.6902199581488917,0,9,15,96.0,0,0.0,0.0,45.0,81.0,2.0,-7.14867603957688,0,-11.299421009098428,0.0635897859811895,0.17546633232662878,19.8,28.800000000000004,8,29.0,6.0,70.0,205.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yeoyrlaf9hlvowj6fdio",Mike Boone,RB,29.7,7.0,CAR,1125000.0,UFA,,1125000.0
Chase Edmonds,00-0034681,2022,REG,68,245.0,2,0.0,0.0,8.0,-15.705972078634659,0,16,24,157.0,1,0.0,0.0,50.0,113.0,7.0,5.059574326597328,0,21.287284610814023,0.05229936977017695,0.20004160839608456,58.2,74.2,13,28.0,6.0,69.0,210.0,6.688600000000001,23.333333333333332,2.95125,2.2916666666666665,50.57966100234101,-25.57966100234101,-2.268879683917527,0.14166666666666666,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nbnqxhjafvg2vg6lc2ls",Chase Edmonds,RB,28.9,7.0,TB,1500000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25235,1229084.0
Nick Chubb,00-0034791,2024,REG,102,332.0,3,1.0,1.0,17.0,-20.57457828947537,0,5,11,31.0,1,0.0,0.0,-5.0,31.0,3.0,-16.317357186810113,0,2.6666666666666665,0.032927675200246295,-0.002327074913063337,58.3,63.3,8,28.0,6.0,71.0,225.0,4.584819277108436,21.568627450980397,2.7750329670329665,3.2549019607843137,352.9005582154049,-24.900558215404885,-0.2490055821540488,0.42,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a8ib0haur75wrhqrbtyo",Nick Chubb,RB,29.2,7.0,CLE,2275000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25134,3256663.0
Trayveon Williams,00-0035291,2023,REG,15,69.0,0,0.0,0.0,2.0,-2.0943662159261294,0,7,9,10.0,0,0.0,0.0,-28.0,35.0,0.0,-7.627276058227474,0,-1.0303030303030303,0.017324585352535664,-0.11928712500116734,7.9,14.9,14,26.0,5.0,68.0,206.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kx1u2iefb1vcnkrpdt4e",Trayveon Williams,RB,27.4,6.0,CIN,1125000.0,UFA,,1125000.0
