player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url,Name,Position,Age,YOE,Prev Team,AAV,Type,MV_Link,market_value
Marcedes Lewis,00-0024243,2022,REG,6,7,66.0,2,0.0,0.0,58.0,14.0,5.0,6.967597299488261,1,5.423809523809524,0.03749196709723025,0.19698294496552232,0.4753157653509379,20.6,26.6,6,40.0,18.0,78.0,267.0,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",Marcedes Lewis,TE,40.8,19.0,CHI,2000000.0,UFA,,2000000.0
MyCole Pruitt,00-0031585,2022,REG,16,21,150.0,4,0.0,0.0,118.0,75.0,10.0,8.150616070022807,0,16.34781446175308,0.08578259216132214,0.5807592330727535,1.6932703455707596,39.0,55.0,10,32.0,9.0,74.0,243.0,3.2400000000000007,3.454908494572741,8.504,12.80877214122183,60.0,3.2166666666666672,4.448448964988832,-1.231782298322165,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jazo8egu5luwyxxcpjh8",MyCole Pruitt,TE,32.9,10.0,PIT,1260000.0,UFA,,1260000.0
C.J. Uzomah,00-0032134,2022,REG,21,27,232.0,2,0.0,0.0,196.0,105.0,10.0,11.249330801598262,0,17.4934188328809,0.07446486774332044,0.6194004970597637,1.773947967321602,35.2,56.2,12,31.0,9.0,78.0,260.0,3.904285714285714,3.522300899468749,6.917714285714286,11.837684976922196,41.42857142857142,1.990833333333331,4.48151630348021,-2.490682970146879,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hnkflpl5pzbfbdvtcv1c",C.J. Uzomah,TE,32.2,10.0,PHI,1377500.0,UFA,,1377500.0
Geoff Swaim,00-0032141,2022,REG,12,16,58.0,1,0.0,0.0,34.0,43.0,4.0,-1.8323340706701856,0,12.333333333333332,0.05322495821364683,0.17207836410393618,0.998666665397928,11.8,23.8,11,30.0,9.0,76.0,260.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kecuhwgbqvlqt6gb0dz6",Geoff Swaim,TE,31.5,10.0,CLE,1210000.0,UFA,,1210000.0
Nick Vannett,00-0032394,2024,REG,17,20,135.0,3,0.0,0.0,22.0,110.0,7.0,1.8264569420716725,0,8.5125,0.05338288321751988,0.082097432282072,1.0183601005128082,31.5,48.5,12,31.0,8.0,78.0,261.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/srrlkx2mydsb8gfco6fp",Nick Vannett,TE,32.0,9.0,TEN,1125000.0,UFA,,1125000.0
Mo Alie-Cox,00-0033217,2022,REG,19,28,189.0,3,1.0,1.0,151.0,99.0,9.0,-1.585438021593057,0,19.182975589225588,0.061547438803126645,0.6808051746780924,1.7690598371403243,34.9,53.9,14,30.0,7.0,77.0,267.0,5.532,4.199063930125623,5.261666666666667,12.635581348809286,100.0,8.905,4.32623654340163,4.578763456598369,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f4orwwthvtcyd3vfqjvs",Mo Alie-Cox,TE,31.5,8.0,IND,5850000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/21731,1954387.0
Eric Saubert,00-0033576,2022,REG,15,24,148.0,1,0.0,0.0,202.0,75.0,6.0,-2.877889098607665,0,11.297301996249365,0.06521265446381874,0.8689751126464358,1.6842913775055144,20.8,35.8,11,30.0,7.0,77.0,253.0,5.2683333333333335,2.99392077983894,5.005428571428572,8.871103861381243,75.71428571428572,2.597,2.143021479823085,0.4539785201769151,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxcadtlbynaz2qbffpei",Eric Saubert,TE,30.8,8.0,SF,1292500.0,UFA,,1292500.0
Gerald Everett,00-0033895,2023,REG,51,70,411.0,3,3.0,0.0,282.0,275.0,25.0,7.632986672921106,0,23.918703607379985,0.13180196273429948,1.0322437083401026,3.68811475735981,60.1,111.10000000000001,15,30.0,7.0,75.0,240.0,5.935892857142855,3.984096198460132,3.962857142857143,5.887334166700271,72.85714285714285,5.588431372549021,4.945532954593304,0.6428984179557169,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aayw74rhaupmfnnikzak",Gerald Everett,TE,30.7,7.0,CHI,6000000.0,UFA,,6000000.0
Ross Dwelley,00-0034073,2022,REG,3,5,105.0,1,0.0,0.0,69.0,43.0,3.0,8.342849017702974,0,4.708333333333334,0.049262820512820514,0.3647635865413212,0.5509114336558479,16.5,19.5,4,29.0,6.0,77.0,240.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ukd8ctqgskd8q5psumou",Ross Dwelley,TE,30.1,7.0,ATL,1292500.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25540,1368306.0
Tyler Conklin,00-0034270,2024,REG,51,72,449.0,4,0.0,0.0,358.0,262.0,24.0,10.081812269940906,1,28.071011222448487,0.1249434175490989,1.5184965589313661,4.06158961243033,70.9,121.9,16,29.0,6.0,75.0,254.0,6.160222222222223,4.324308091444355,5.209305555555556,9.56318427748966,70.83333333333334,5.460980392156863,5.53507050555922,-0.0740901134023577,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/chajhumpfogd8effewe6",Tyler Conklin,TE,29.6,7.0,NYJ,6750000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25258,9001554.0
