player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url,player_name_clean,Name,Position,Age,YOE,Prev Team,AAV,Type,MV_Link,market_value,Name_clean
Keenan Allen,00-0030279,2024,REG,70,121,744.0,7,1.0,0.0,1115.0,240.0,43.0,23.16483989555049,0,13.138534043433602,0.2650210156848739,4.777649076568629,9.307327206507702,114.4,184.4,15,32.0,11.0,74.0,211.0,6.491150442477877,3.002284031908708,9.747520661157026,28.337722122379944,57.85123966942148,3.7638571428571415,3.868565738071702,-0.1047085952145603,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",keenanallen,Keenan Allen,WR,32.8,12.0,CHI,20025000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/12357,11092577.0,keenanallen
Robert Woods,00-0030431,2023,REG,40,75,426.0,1,0.0,0.0,732.0,126.0,26.0,2.1483266097997866,0,7.638205449329433,0.16617031983181246,2.543369540826272,5.020679915298734,49.300000000000004,89.3,13,32.0,11.0,72.0,193.0,7.074848484848485,2.622867830084316,9.988,14.797241640872077,53.333333333333336,3.3567500000000003,3.132723177813903,0.2240268221860972,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",robertwoods,Robert Woods,WR,32.9,12.0,HOU,7625000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/12322,1376768.0,robertwoods
Brandin Cooks,00-0031236,2024,REG,26,54,259.0,3,0.0,0.0,634.0,55.0,19.0,-11.122766286566897,0,5.751777715446384,0.16577215924300762,2.4672794536240956,4.213678006181981,43.6,69.6,10,30.0,10.0,70.0,183.0,6.237924528301886,2.1633950295248603,12.583703703703703,14.664960301103028,48.14814814814815,2.364615384615385,2.9965910200593333,-0.6319756354439487,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop",brandincooks,Brandin Cooks,WR,31.4,11.0,DAL,19882000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/14429,5177228.0,brandincooks
Allen Robinson,00-0031428,2023,REG,34,49,280.0,0,0.0,0.0,370.0,68.0,9.0,-4.572062466759873,0,11.237670454700988,0.10964497645521247,1.6075721237440768,3.592312456863134,28.0,62.0,15,31.0,10.0,74.0,220.0,6.691276595744681,2.572043830719545,7.605,10.025321461723948,68.75,2.18,2.302662039475264,-0.122662039475264,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyukft9lraurbsq0laom",allenrobinson,Allen Robinson,WR,31.5,11.0,DET,1210000.0,UFA,,1210000.0,allenrobinson
Amari Cooper,00-0031544,2024,REG,44,85,547.0,4,0.0,0.0,1161.0,111.0,24.0,6.906823084573158,0,8.483874416281513,0.2069633639903317,4.356081451842356,7.085042614101117,78.7,122.7,13,30.0,9.0,73.0,211.0,6.03047619047619,2.6037789190710265,12.77905882352941,26.678881777052936,51.76470588235295,2.9238636363636363,3.355831824502902,-0.4319681881392663,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zmtzqznqui37unmo5xv9",amaricooper,Amari Cooper,WR,30.8,10.0,BUF,20000000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16728,18939311.0,amaricooper
Nelson Agholor,00-0031549,2023,REG,35,45,381.0,4,1.0,0.0,418.0,141.0,19.0,17.871011294482273,0,19.145543084840618,0.09582245161588629,1.7218273722205222,3.5050179993356365,62.1,97.1,16,31.0,9.0,72.0,198.0,6.395348837209302,3.5799465724612403,9.390000000000002,10.325968754505622,77.77777777777779,4.260000000000001,4.3074649168500185,-0.0474649168500178,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wyxfkarcjgqdz3pl8nnr",nelsonagholor,Nelson Agholor,WR,31.8,10.0,BAL,3750000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16744,1871676.0,nelsonagholor
Stefon Diggs,00-0031588,2024,REG,47,64,496.0,3,0.0,0.0,556.0,185.0,31.0,18.081069017473652,0,9.639518074947317,0.24408211329488377,2.3482620631457003,4.572768803740595,74.92,121.92,8,30.0,9.0,72.0,191.0,6.933220338983051,3.021883810509726,8.71640625,12.348616826526117,73.4375,4.06468085106383,3.906554492479935,0.1581263585838952,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/to2qwuffjnjlouctglsl",stefondiggs,Stefon Diggs,WR,31.2,10.0,HOU,22520000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16872,13718173.0,stefondiggs
Jamison Crowder,00-0031941,2023,REG,16,20,159.0,1,0.0,0.0,122.0,80.0,8.0,5.320990374864893,0,3.537566844919786,0.06481115173342064,0.34808336488765174,0.924175448622273,21.9,37.900000000000006,7,31.0,9.0,69.0,177.0,7.136825396825397,3.3193721570952817,7.842825396825397,13.845355092744297,75.55555555555556,3.458690476190476,3.449339605826653,0.009350870363823057,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rfysbrjrvfdr72cx8who",jamisoncrowder,Jamison Crowder,WR,31.8,10.0,WAS,1310000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16831,1276490.0,jamisoncrowder
Chris Conley,00-0032128,2024,REG,6,12,76.0,0,0.0,0.0,207.0,19.0,3.0,-1.8939166229683906,0,4.421985815602836,0.05295634217293204,0.7441363109785556,1.0769370105007754,7.6000000000000005,13.6,7,31.0,9.0,75.0,205.0,6.641666666666667,3.032889685640644,12.983333333333334,30.92128765927043,50.0,9.433333333333332,7.172738699963172,2.26059463337016,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mr4h7vx02uwpr7xlfk6y",chrisconley,Chris Conley,WR,32.3,10.0,SF,1550000.0,UFA,,1550000.0,chrisconley
Tyler Lockett,00-0032211,2024,REG,49,74,600.0,2,0.0,0.0,783.0,134.0,36.0,12.303688607082538,0,15.179849307309645,0.13258796606438947,3.406090918002158,5.765256777243442,72.0,121.0,17,31.0,9.0,70.0,182.0,6.4013888888888895,2.664344589976156,11.093648648648648,20.137565280956483,66.21621621621621,2.9979591836734696,3.892384137000493,-0.8944249533270234,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yz9p4pfwr0iyakhnwj4z",tylerlockett,Tyler Lockett,WR,32.4,10.0,SEA,14830000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/16793,7707006.0,tylerlockett
Tyler Boyd,00-0033009,2024,REG,39,57,390.0,0,0.0,0.0,420.0,189.0,20.0,3.8258736898387156,0,21.494144427262874,0.12563974852822224,1.8072974583553312,4.092002562733732,39.300000000000004,78.3,15,29.0,8.0,74.0,203.0,6.431555555555555,2.774185579386632,7.127543859649123,9.87117685362464,68.42105263157895,5.160769230769231,4.029816659021234,1.1309525717479962,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ttifog0hjxprlhkagugu",tylerboyd,Tyler Boyd,WR,30.3,9.0,TEN,2400000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/19004,2158199.0,tylerboyd
Zach Pascal,00-0033251,2022,REG,15,19,150.0,1,0.0,0.0,115.0,86.0,9.0,0.30220998800359666,0,14.985057471264367,0.0522241667202987,0.43653937741455656,1.245612565155566,21.0,36.0,12,29.0,7.0,74.0,214.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pfhgz8ofqgoubhnuqtme",zachpascal,Zach Pascal,WR,30.2,8.0,ARI,2250000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/22405,1513278.0,zachpascal
Josh Reynolds,00-0033943,2023,REG,40,64,608.0,5,1.0,1.0,645.0,173.0,32.0,14.700263801555883,0,15.687563326269583,0.12321504313065311,2.9996325035636717,5.056903787630245,88.80000000000001,128.8,16,29.0,7.0,75.0,196.0,5.765,2.497459871184408,11.148125,17.766290165142735,62.5,4.96475,4.0006322476732,0.9641177523268007,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ifukozhqlo1728h3gjnp",joshreynolds,Josh Reynolds,WR,30.1,7.0,JAX,4500000.0,UFA,,4500000.0,joshreynolds
River Cracraft,00-0034054,2022,REG,9,14,102.0,2,0.0,0.0,122.0,26.0,8.0,1.4560171206831,0,4.9298245614035086,0.05022318613117761,0.37159965209515006,0.8627979900407364,22.2,31.2,8,29.0,7.0,72.0,200.0,6.282,2.470368431989068,10.575999999999995,10.36212572503527,60.0,5.223333333333336,8.523638041602831,-3.300304708269495,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/y8t968ntco72t8f8ryba",rivercracraft,River Cracraft,WR,30.3,6.0,MIA,1240000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/24534,1148199.0,rivercracraft
Brandon Powell,00-0034646,2023,REG,29,44,324.0,1,0.0,0.0,332.0,104.0,18.0,-1.467711050703791,0,12.042031214399636,0.0959910345260741,1.1903636982338992,2.7050797620221743,40.1,69.1,13,28.0,6.0,68.0,189.0,6.276375,2.8813886877602806,8.132833333333332,17.21067891005195,76.66666666666666,4.377500000000001,4.805886159357641,-0.42838615935764013,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kpggzzkazhxoq4e77xho",brandonpowell,Brandon Powell,WR,28.5,7.0,MIN,2000000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25754,1499351.0,brandonpowell
DJ Chark,00-0034777,2023,REG,35,66,525.0,5,2.0,1.0,1016.0,84.0,22.0,15.333778778289522,0,8.651993115756733,0.14808751055561103,4.301446459904676,6.1208502436011045,80.5,115.5,14,27.0,6.0,75.0,198.0,5.74609375,2.2882380354006724,15.091818181818182,25.091442217587133,53.03030303030303,2.792285714285714,2.556324468783374,0.2359612455023398,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/skuieceh50r31ulwpo5s",djchark,DJ Chark,WR,28.4,7.0,LAC,3000000.0,UFA,https://www.spotrac.com/nfl/player/market-value/_/id/25160,1451215.0,djchark
Deonte Harty,00-0035215,2023,REG,15,21,150.0,1,0.0,0.0,227.0,79.0,9.0,6.185579963892329,0,9.30694156193551,0.0529886949283501,0.7919825072222852,1.5081842637659015,27.0,42.0,12,26.0,5.0,66.0,170.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fh7rbtvohdkaacqaxqke",deonteharty,Deonte Harty,WR,27.2,6.0,BAL,1292500.0,UFA,,1292500.0,deonteharty
