NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,Rec,Catch %,TD
"Chris Lindstrom","G","ATL",1,53,"",61,56,87,70,73,40,57,77,46,"",81,74,58,62,64,79,1038,64,96.2,,,
"Drew Dalman","OL","ATL",1,56,"",19,"","","","","","","","","",81,74,58,62,64,79,493,61,83.9,,,
"Jake Matthews","OT","ATL",1,56,"",61,56,87,70,66,62,57,78,46,"",81,74,58,62,64,79,1057,65,97.8,,,
"Kaleb McGary","OT","ATL",1,56,"",15,"",87,70,73,62,57,78,59,"",81,74,58,67,64,79,980,65,91.1,,,
"Matthew Bergeron","OL","ATL",1,56,"",61,56,87,70,35,62,57,78,59,"",81,74,58,67,64,79,1044,65,96.7,,,
"Brock Hoffman","C","DAL",2,1,"","","",4,18,"","","",6,13,66,76,60,73,60,62,78,517,30,44.2,,,
"Bernhard Raimann","OT","IND",1,45,56,56,66,70,70,61,64,"",13,"","",62,"",76,62,77,78,856,61,78.7,,,
"Cooper Beebe","G","DAL",1,62,70,80,56,76,69,"",62,77,60,83,66,76,24,"",60,62,78,1061,66,90.6,,,
"Mark Glowinski","G","IND",3,"","","","","","","","","","","","",62,"",76,62,77,78,355,71,100,,,
"Quenton Nelson","G","IND",1,45,56,56,66,70,70,60,64,54,64,70,55,62,"",76,60,77,78,1083,63,99.6,,,
"Ryan Kelly","C","IND",1,45,56,56,"","",47,62,64,54,"","","","","","",62,77,78,601,60,79.1,,,
"Tyler Smith","G","DAL",1,62,70,80,56,76,51,"",62,77,54,70,"",76,60,64,60,59,78,1055,65,90.1,,,
"Terence Steele","OT","DAL",1,63,70,80,56,76,69,"",62,77,60,83,66,76,60,73,60,62,78,1171,68,100,,,
"Bradley Bozeman","C","LAC",1,57,69,46,56,"",78,66,66,57,59,67,69,46,60,52,65,69,75,1057,62,99.1,,,
"Joe Alt","OT","LAC",1,57,69,46,"","",78,66,66,57,59,67,69,46,60,52,65,79,75,1011,63,94.8,,,
"Jamaree Salyer","OL","LAC",2,"","",17,56,"",48,1,1,"",48,4,2,2,3,23,5,55,75,340,20,31.9,,,
"Zion Johnson","G","LAC",1,57,69,46,56,"",78,66,66,57,59,67,69,46,60,42,65,69,75,1047,61,98.1,,,
"Alex Cappa","G","CIN",1,51,64,62,67,67,53,55,58,74,82,82,"",62,71,65,56,90,74,1133,66,99.6,,,
"Cordell Volson","G","CIN",2,51,64,62,67,67,53,55,58,74,82,82,"","",71,69,56,"",74,985,57,86.6,,,
"Luke Wattenberg","C","DEN",1,69,61,68,61,53,"","","","",58,59,68,66,"",63,64,60,74,824,63,98.4,,,
"Mike McGlinchey","OT","DEN",1,69,59,"","","","",63,72,72,58,59,68,66,"",63,64,60,74,847,65,99.1,,,
"Orlando Brown Jr.","OT","CIN",1,51,64,62,67,67,53,18,29,"","","","",62,"","","",90,74,637,57,56,,,
"Ted Karras","C","CIN",1,51,64,62,67,67,53,55,58,74,82,82,"",62,71,69,56,90,74,1137,66,100,,,
"Jake Brendel","C","SF",1,71,70,71,63,64,65,63,68,"",64,63,49,48,58,54,64,64,73,1072,63,99.4,,,
"Aaron Brewer","OL","MIA",1,71,76,61,60,78,"",69,65,61,53,68,68,71,72,68,67,60,70,1138,66,100,,,
"Daniel Faalele","G","BAL",1,80,65,63,57,78,68,59,68,57,63,61,65,72,"",59,62,60,70,1107,65,99.7,,,
"Patrick Paul","OT","MIA",2,"","",1,60,"","","","","",2,"",19,17,67,68,"",33,70,337,19,29.6,,,
"Robert Jones","OL","MIA",1,71,40,61,60,78,"",69,65,61,29,68,68,71,72,68,67,60,70,1078,63,94.7,,,
"Roger Rosengarten","OT","BAL",1,20,18,"",57,71,68,59,68,57,63,61,65,72,"",59,62,63,70,933,54,84.1,,,
"Ronnie Stanley","OT","BAL",1,80,65,63,57,76,68,59,68,51,63,61,65,72,"",49,62,60,70,1089,64,98.1,,,
"Terron Armstead","OT","MIA",1,71,46,20,"",78,"",69,65,61,53,68,49,71,5,"",67,27,70,820,54,72.1,,,
"Tyler Linderbaum","C","BAL",1,80,65,63,57,78,68,59,68,51,63,61,65,72,"",49,62,63,70,1094,64,98.6,,,
"Anton Harrison","OT","JAX",1,53,60,47,58,58,59,61,57,51,44,48,"",70,"",84,66,58,69,943,58,91.3,,,
"Brandon Scherff","G","JAX",1,53,60,70,58,58,62,61,50,54,44,48,"",70,59,84,67,46,69,1013,59,98.1,,,
"Cole Van Lanen","OT","JAX",2,"","","","","","","","",3,"","","","",59,1,62,58,69,252,28,24.4,,,
"Ezra Cleveland","G","JAX",1,53,60,71,58,58,62,61,36,"","",47,"",70,59,84,67,56,69,911,60,88.2,,,
"Mitch Morse","C","JAX",1,53,60,71,58,58,62,59,57,53,44,39,"",70,59,84,67,58,69,1021,60,98.8,,,
"Darian Kinnard","G","PHI",2,"","","","","","","",3,"","","","","","","","","",68,71,35,6.1,,,
"Fred Johnson","OT","PHI",2,"","",54,57,"",13,66,61,78,68,"",2,"","",6,"",7,68,480,28,41.6,,,
"Frank Ragnow","C","DET",1,61,85,68,"","",57,57,42,57,65,63,72,70,80,79,65,71,68,1060,66,92.5,,,
"Graham Glasgow","G","DET",1,61,85,68,53,"",68,57,48,57,65,79,72,70,80,79,"",71,68,1081,67,94.3,,,
"Jack Driscoll","OL","PHI",3,"","","","","","",12,7,1,14,"",2,"","",1,"",5,68,110,8,12.5,,,
"Nick Gates","OL","PHI",3,"","","","","","",12,2,"",14,"","","","","","","",68,96,10,8.3,,,
"Penei Sewell","OT","DET",1,61,85,68,53,"",68,57,48,57,65,79,72,70,80,79,65,70,68,1145,67,99.9,,,
"Taylor Decker","OT","DET",1,61,85,68,53,"",68,57,42,57,"",63,58,"","",79,65,71,68,895,63,78.1,,,
"Alec Anderson","OT","BUF",2,10,13,16,19,17,15,6,21,11,6,6,"",32,9,13,11,19,67,291,17,26.7,,,
"Ben Bredeson","G","TB",1,64,48,57,77,53,77,82,73,55,61,"",65,80,62,69,72,66,67,1128,66,98.8,,,
"Cody Mauch","G","TB",1,64,48,57,77,53,77,82,73,55,61,"",65,80,62,69,72,71,67,1133,66,99.2,,,
"Cade Mays","G","CAR",1,"","","","","","","",10,53,60,"",62,70,71,55,"",47,67,495,45,68.5,,,
"Chandler Zavala","G","CAR",2,"","",22,70,2,2,2,"",4,4,"","",1,7,2,13,2,67,198,11,19.1,,,
"Damien Lewis","G","CAR",1,59,48,54,"",60,66,42,61,53,60,"",62,70,71,55,68,47,67,943,58,91.2,,,
"Graham Barton","C","TB",1,64,48,57,77,53,"",82,73,55,61,"",65,80,62,72,72,77,67,1065,66,93.3,,,
"Ikem Ekwonu","OT","CAR",1,59,48,74,70,60,66,43,50,"","","",62,70,71,55,68,47,67,910,60,88,,,
"Luke Goedeke","OT","TB",1,64,"","","","",77,82,73,55,61,"",65,80,62,72,72,77,67,907,69,79.4,,,
"Ryan Van Demark","OT","BUF",2,"","","",8,"",3,"",7,"",9,73,"",15,"",5,"",12,67,199,14,18.3,,,
"Sedrick Van Pran-Granger","C","BUF",2,"",4,8,8,"","","",7,"",1,"","",15,"","","",10,67,120,7,11,,,
"Tylan Grable","OT","BUF",2,"",4,3,"","","","","","","","","","","","","","",67,74,18,20.2,,,
"Taylor Moton","OT","CAR",1,59,48,74,70,29,"","",61,53,60,"",62,70,71,55,68,"",67,847,60,81.9,,,
"Tristan Wirfs","OT","TB",1,64,48,57,74,53,77,82,73,55,17,"","",80,62,69,72,66,67,1016,63,89,,,
"Will Clapp","C","BUF","","","","","","","","","","","","","","","","","","",67,67,67,8.6,,,
"Cesar Ruiz","C","NO",1,60,59,55,"","","","",73,79,53,60,"",70,68,55,56,60,66,814,62,74.8,,,
"Dylan McMahon","OL","LAR",2,"","","","","","","","","","","","","","","","","",66,66,66,6.5,,,
"Jonah Jackson","G","LAR",3,78,52,"","","","","","","",70,"","","","","","","",66,266,66,38.6,,,
"Joe Noteboom","OL","LAR",2,27,"","","","","","","","",70,"","","","","","",57,66,220,55,34.5,,,
"Landon Young","OT","NO",2,31,7,1,74,53,70,70,"","","","","",15,"","",3,3,66,393,23,36.1,,,
"Steve Avila","OL","LAR",1,37,"","","","","","","","",70,52,64,56,77,65,52,57,66,596,59,93.6,,,
"Shane Lemieux","C","NO",1,"","","",74,"","","","","","",19,"",70,"","",49,60,66,338,48,60.1,,,
"Taliese Fuaga","OT","NO",1,66,53,56,74,53,70,70,73,79,42,60,"",70,68,55,56,60,66,1071,63,98.4,,,
"Trevor Penning","OT","NO",2,66,53,56,74,53,70,70,73,79,53,60,"",70,68,55,56,60,66,1082,63,99.4,,,
"Warren McClendon Jr.","OL","LAR",2,78,52,"","","","","","",19,"",52,64,"","","","","",66,331,25,30.4,,,
"Blake Brandel","G","MIN",1,55,54,63,68,73,"",60,50,73,84,73,71,53,60,77,66,72,65,1117,65,100,,,
"Brian O'Neill","OT","MIN",1,55,54,60,68,73,"",60,50,73,84,73,71,53,60,63,66,72,65,1100,64,98.5,,,
"Ben Powers","G","DEN",1,69,61,68,61,63,55,63,73,72,58,62,68,66,"",60,64,60,65,1088,64,98.7,,,
"Christian Jones","OT","ARI",2,"","","","","","","","","","","","","","","","",9,65,74,37,10.9,,,
"Cam Robinson","OT","MIN",2,53,60,71,58,58,62,5,"",73,84,73,9,53,60,77,66,72,65,999,58,85.1,,,
"Dalton Risner","G","MIN",1,"","","","","","","","","","",73,71,53,60,77,66,72,65,537,53,77.4,,,
"Elgton Jenkins","G","GB",1,67,70,63,76,59,73,58,70,65,"",46,68,54,50,64,60,63,65,1071,63,98.8,,,
"Garett Bolles","OT","DEN",1,54,61,68,61,59,55,63,72,72,58,59,68,66,"",63,64,60,65,1068,62,96.9,,,
"Garrett Bradbury","C","MIN",1,55,54,63,68,73,"",60,50,73,84,73,71,53,60,77,66,72,65,1117,65,100,,,
"Isaiah Adams","G","ARI",1,"",6,"","","",23,20,26,17,"","","",15,71,70,70,79,65,462,30,42.2,,,
"Josh Myers","C","GB",1,65,70,63,76,59,68,58,70,"","",46,68,54,50,64,69,63,65,1008,63,93,,,
"Quinn Meinerz","OL","DEN",1,69,61,68,61,63,55,65,72,72,58,62,68,66,"",59,64,60,65,1088,64,98.7,,,
"Rasheed Walker","OT","GB",1,67,70,63,76,59,73,58,70,65,"",46,72,54,50,64,60,63,65,1075,63,99.2,,,
"Sean Rhyan","G","GB",1,42,50,63,76,59,40,45,48,65,"",46,72,54,42,64,69,63,65,963,56,88.8,,,
"Zach Tom","OL","GB",1,67,70,63,76,59,73,57,70,65,"",46,68,54,50,64,60,63,65,1070,62,98.7,,,
"Alijah Vera-Tucker","G","NYJ",1,51,57,73,74,72,63,26,"","",58,51,"",68,68,58,69,63,64,915,61,85.8,,,
"Cole Strange","G","NE",2,"","","","","","","","","","","","","","","","",53,64,117,39,48.5,,,
