NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Avg,TM SNAP %,DEPTH_ranking,Avg_ranking,TM SNAP %_ranking,depth_score,TM_SNAP,avg_norm,rating,games,max_team_rating,team_relative_rating,final_rating,height,weight,headshot_url
Joel Bitonio,G,CLE,1.0,76.0,72.0,67.0,59.0,62.0,57.0,84.0,69.0,79.0,,70.0,58.0,86.0,72.0,62.0,66.0,79.0,59.0,69,99.7,1.0,2.0,17.0,1.0,0.997,0.971830985915493,0.9356132237871675,17,0.9356132237871675,1.0,0.75,76.0,320.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/il9yy0bjrowrwhxk9ard"
Joe Thuney,G,KC,1.0,54.0,65.0,74.0,62.0,84.0,,70.0,72.0,85.0,68.0,55.0,74.0,71.0,69.0,75.0,74.0,62.0,3.0,65,97.3,1.0,33.0,49.0,1.0,0.973,0.9154929577464789,0.9128507824726134,17,0.9128507824726134,1.0,0.75,77.0,308.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hlarfa9lnf5g8gfrvwxe"
Mike Onwenu,OL,NE,1.0,65.0,68.0,52.0,64.0,60.0,66.0,60.0,67.0,69.0,64.0,76.0,69.0,72.0,,51.0,73.0,42.0,3.0,60,93.4,1.0,105.0,70.0,1.0,0.934,0.8450704225352113,0.8818477308294209,17,0.8818477308294209,1.0,0.75,75.0,350.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z9w4gxxdcr13p5xqsunn"
Ben Powers,G,DEN,1.0,69.0,61.0,68.0,61.0,63.0,55.0,63.0,73.0,72.0,58.0,62.0,68.0,66.0,,60.0,64.0,60.0,65.0,64,98.7,1.0,49.0,34.0,1.0,0.987,0.9014084507042254,0.9128268388106415,17,0.9128268388106415,1.0,0.75,76.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/alq3xjc2d3xn2xb9iay9"
O'Cyrus Torrence,G,BUF,1.0,62.0,41.0,61.0,59.0,61.0,69.0,55.0,76.0,66.0,73.0,73.0,,58.0,60.0,70.0,59.0,70.0,,59,93.1,1.0,121.0,72.0,1.0,0.9309999999999999,0.8309859154929577,0.8254184663536775,16,0.8254184663536775,1.0,0.75,77.0,347.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fjujrossxxnz7ygofkva"
Quenton Nelson,G,IND,1.0,45.0,56.0,56.0,66.0,70.0,70.0,60.0,64.0,54.0,64.0,70.0,55.0,62.0,,76.0,60.0,77.0,78.0,63,99.6,1.0,61.0,21.0,1.0,0.996,0.8873239436619719,0.9113862284820031,17,0.9113862284820031,1.0,0.75,77.0,330.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fehjl7drjhhirpyfkxhd"
Robert Hunt,G,CAR,1.0,59.0,48.0,74.0,70.0,60.0,66.0,43.0,61.0,53.0,60.0,,62.0,70.0,71.0,55.0,68.0,47.0,,60,93.5,1.0,105.0,69.0,1.0,0.935,0.8450704225352113,0.8302410015649453,16,0.8302410015649453,1.0,0.75,78.0,322.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dfg6beceman5yspi1xmz"
Jake Brendel,C,SF,1.0,71.0,70.0,71.0,63.0,64.0,65.0,63.0,68.0,,64.0,63.0,49.0,48.0,58.0,54.0,64.0,64.0,73.0,63,99.4,1.0,61.0,23.0,1.0,0.9940000000000001,0.8873239436619719,0.9108195618153364,17,0.9108195618153364,1.0,0.75,76.0,299.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dioorjffytobqbpkem7l"
Rasheed Walker,OT,GB,1.0,67.0,70.0,63.0,76.0,59.0,73.0,58.0,70.0,65.0,,46.0,72.0,54.0,50.0,64.0,60.0,63.0,65.0,63,99.2,1.0,61.0,25.0,1.0,0.992,0.8873239436619719,0.9102528951486698,17,0.9102528951486698,1.0,0.75,78.0,325.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g9hlwhtxyse7pyaadr6k"
Joe Tippmann,C,NYJ,1.0,51.0,57.0,73.0,74.0,72.0,63.0,57.0,62.0,58.0,58.0,51.0,,68.0,68.0,58.0,69.0,63.0,64.0,62,100.0,1.0,85.0,1.0,1.0,1.0,0.8732394366197183,0.9085289514866979,17,0.9085289514866979,1.0,0.75,78.0,317.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mfgmvbir9xtromcgmc5s"
