player_name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_time_to_throw,ngs_avg_completed_air_yards,ngs_avg_intended_air_yards,ngs_avg_air_yards_differential,ngs_aggressiveness,ngs_avg_air_yards_to_sticks,ngs_passer_rating,ngs_completion_percentage,ngs_expected_completion_percentage,ngs_completion_percentage_above_expectation,headshot_url
Aaron Rodgers,00-0023459,2024,REG,368,584,3897.0,28,11.0,40.0,302.0,5,2,4014.0,2119.0,192.0,10.130993453394488,2,17.796653277127803,1.3670849216482237,22,107.0,0,0.0,0.0,7.0,4.280564359933793,0,256.58,256.58,17,40.0,19.0,74.0,225.0,2.688136986301369,4.517228260869565,6.724348591549297,-2.207120330679732,14.04109589041096,-1.7826936619718308,90.53224885844747,63.013698630136986,68.19648265022121,-5.1827840200842274,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to"
Aidan O'Connell,00-0038579,2024,REG,154,243,1612.0,8,4.0,10.0,82.0,0,0,1921.0,731.0,78.0,4.302663681980774,0,7.274390859891205,0.5149994562970366,21,30.0,1,2.0,2.0,10.0,-8.121734362735879,0,93.48,93.48,9,25.0,1.0,75.0,210.0,2.9156404958677684,5.638636363636365,7.744655172413794,-2.1060188087774296,20.98765432098765,-1.225172413793103,86.65123456790124,63.37448559670782,61.93048385558305,1.4440017411247723,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aphs7sdbtn8v4zo9pz6w"
Andy Dalton,00-0027973,2024,REG,106,160,989.0,7,6.0,7.0,37.0,1,0,1062.0,459.0,50.0,-18.095891326278156,0,4.954892415242316,0.3414501510881374,11,34.0,0,0.0,0.0,2.0,-3.431674593843093,0,58.96,58.96,6,36.0,13.0,74.0,220.0,2.54945625,4.89622641509434,6.717307692307693,-1.821081277213353,15.0,-2.0198717948717944,82.00520833333333,66.25,68.18221452645957,-1.9322145264595747,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d"
Anthony Brown,00-0037175,2022,REG,22,49,302.0,0,2.0,5.0,14.0,1,1,401.0,142.0,13.0,-16.465219842051994,0,1.1271765483799867,-0.08538142132020432,3,-5.0,0,0.0,0.0,0.0,0.0,0,5.579999999999999,5.579999999999999,2,26.0,2.0,73.0,226.0,2.6862142857142857,7.628421052631578,8.589761904761904,-0.9613408521303252,20.454545454545457,-0.4340476190476189,46.21212121212121,43.18181818181818,57.42570825598457,-14.243890074166387,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wsbie1tqhz6uwtf49tmj"
Anthony Richardson,00-0039164,2024,REG,126,264,1814.0,8,12.0,14.0,115.0,3,2,3224.0,776.0,73.0,-38.218216186902694,0,7.766193642511175,0.1464452194993905,86,499.0,6,6.0,1.0,33.0,22.734995245003095,1,162.36,163.36,11,22.0,1.0,76.0,232.0,2.950442748091603,7.959126984126985,12.02756,-4.068433015873015,15.909090909090908,2.6555599999999995,61.64772727272728,47.72727272727273,58.9877821850788,-11.260509457806071,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/areyvihumylqo7y2ehk2"
Bailey Zappe,00-0038108,2023,REG,127,212,1272.0,6,9.0,25.0,191.0,2,1,1686.0,637.0,53.0,-81.79545271547397,0,9.369872497106094,-0.0017343172240964905,17,83.0,1,0.0,0.0,6.0,4.63150148303248,0,69.18,69.18,10,25.0,2.0,73.0,220.0,2.744265402843601,4.77031496062992,7.722885572139303,-2.9525706115093824,19.81132075471698,-1.2771144278606965,68.75,59.905660377358494,62.115487561754456,-2.2098271843959623,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m0aps8mb4jev4t4tduir"
Baker Mayfield,00-0034855,2024,REG,407,570,4500.0,41,16.0,40.0,248.0,4,1,3971.0,2439.0,224.0,116.22962828218236,1,20.530267875192994,2.6276210095542747,60,378.0,3,7.0,1.0,24.0,6.794032916492984,0,365.8,365.8,17,29.0,6.0,73.0,215.0,2.698200351493849,5.0239803439803445,6.820836298932386,-1.7968559549520418,10.87719298245614,-2.1738256227758,106.76169590643276,71.40350877192982,69.94685868095411,1.456650090975714,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrbgtbyy8a7l0ux13hjy"
Bo Nix,00-0039732,2024,REG,376,567,3775.0,29,12.0,24.0,198.0,2,0,4116.0,2072.0,170.0,35.38800729889576,0,17.824438727103697,1.7850424928278326,92,430.0,4,1.0,0.0,41.0,22.070224168650412,0,316.2,317.2,17,24.0,0.0,74.0,217.0,2.906321554770318,4.495797872340424,7.386928702010968,-2.891130829670544,13.051146384479717,-1.5381170018281538,93.31643151087596,66.31393298059965,68.74837031328437,-2.4344373326847237,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zibtvsprpauxnytis229"
Brandon Allen,00-0032434,2024,REG,17,30,199.0,1,2.0,2.0,2.0,2,1,241.0,116.0,8.0,-12.354177547361862,0,0.9299065420560748,0.008527822015022161,3,4.0,0,0.0,0.0,0.0,-0.9902776144444942,0,6.360000000000001,6.360000000000001,3,31.0,8.0,74.0,209.0,2.801586206896552,5.0317647058823525,7.318076923076922,-2.2863122171945696,6.896551724137931,-2.0280769230769238,76.65229885057471,58.620689655172406,65.07620359289234,-6.455513937719935,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xn9eheiy6kty4movmlak"
Brett Rypien,00-0034955,2022,REG,53,88,483.0,2,4.0,8.0,47.0,2,1,734.0,267.0,24.0,-29.22884806378002,0,3.11561670521626,0.006564553084048658,6,7.0,0,1.0,0.0,2.0,-0.5416464465088211,0,18.02,18.02,4,28.0,5.0,74.0,200.0,2.774818800764453,4.957930402930402,7.890205128205128,-2.9322747252747265,17.693900302595956,-1.3637359924026589,65.71806816372033,59.79057174709349,63.97660317139406,-4.1860314243005705,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oogvu5kkkboldowqkfst"
Brock Purdy,00-0037834,2024,REG,300,455,3864.0,20,12.0,31.0,156.0,5,3,3904.0,1644.0,178.0,78.72967370798577,0,15.70015833485079,2.0666646318651742,66,323.0,5,2.0,0.0,33.0,19.224652512424893,0,266.86,266.86,15,24.0,2.0,73.0,212.0,2.9346111111111117,7.404666666666666,8.739340909090908,-1.3346742424242422,17.802197802197803,-0.2561136363636362,96.07600732600736,65.93406593406593,63.9717880288487,1.962277905217228,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/myvg8siij2bn9ecx7btm"
Bryce Young,00-0039150,2024,REG,234,384,2403.0,15,9.0,29.0,186.0,4,1,3358.0,969.0,117.0,-24.919598704779816,0,10.194872256514913,1.048692799721116,43,249.0,6,1.0,1.0,15.0,15.547885201842291,0,195.02,195.02,14,23.0,1.0,70.0,194.0,2.793119791666666,6.067863247863248,8.690417827298052,-2.622554579434804,19.791666666666664,0.0218941504178273,82.19401041666666,60.9375,59.28459530017184,1.652904699828163,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gdmtmmviwadpobyjogal"
C.J. Beathard,00-0033936,2023,REG,40,53,349.0,1,0.0,6.0,27.0,0,0,339.0,150.0,19.0,5.580714992024477,0,4.762842106539585,0.5058760130365443,8,35.0,0,1.0,0.0,2.0,2.021098795288708,0,21.46,21.46,6,30.0,7.0,74.0,215.0,2.5947541666666667,5.90336898395722,7.402550724637681,-1.4991817406804615,15.0,-0.9162898550724642,101.77083333333334,72.08333333333334,62.424243831386164,9.659089501947168,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yw8euaevcvwswbx5w27w"
C.J. Stroud,00-0039163,2024,REG,336,532,3727.0,20,12.0,52.0,408.0,3,2,4424.0,1664.0,187.0,-13.10815222310596,0,15.861539938972243,1.3751481706693156,52,233.0,0,3.0,2.0,14.0,-7.207441442735237,0,220.38,220.38,17,22.0,1.0,75.0,218.0,2.9764371482176366,6.11577380952381,8.339137254901962,-2.223363445378152,15.413533834586463,-0.919686274509804,87.03790726817043,63.1578947368421,62.79937843582067,0.3585163010214316,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fbk2eqpo54lawppgetjn"
Caleb Williams,00-0039918,2024,REG,351,562,3541.0,20,6.0,68.0,466.0,7,3,4486.0,1866.0,171.0,-43.80484325542776,3,15.246817432415504,1.290655966497992,81,489.0,0,3.0,2.0,27.0,11.632083583211909,0,254.54000000000002,254.54000000000002,17,22.0,0.0,73.0,215.0,2.9193924731182794,4.589430199430199,7.868505747126438,-3.279075547696239,12.099644128113878,-1.2483524904214562,87.79655990510085,62.45551601423488,63.83182519940773,-1.3763091851728433,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/idewrhb7kngpdtrvku31"
Carson Wentz,00-0032950,2022,REG,172,276,1755.0,11,9.0,26.0,159.0,4,1,2147.0,826.0,85.0,-37.29265213974798,2,6.878199617547953,0.38308559566777034,22,86.0,1,2.0,0.0,4.0,6.074985710269046,0,112.8,112.8,8,31.0,8.0,77.0,237.0,2.5987934782608693,5.298895348837209,7.897777777777778,-2.598882428940569,17.02898550724638,-0.9318518518518514,80.20833333333334,62.31884057971014,65.76253418486728,-3.4436936051571365,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jtwkpwc18ivthztykkc8"
Case Keenum,00-0028986,2023,REG,34,53,291.0,1,3.0,6.0,60.0,0,0,377.0,146.0,14.0,-20.65132938160174,0,1.44357153106615,0.040419039095312914,2,1.0,0,1.0,0.0,0.0,-1.650933435827028,0,9.74,9.74,2,36.0,12.0,73.0,215.0,2.7674158496732026,3.5897826086956526,7.452500000000001,-3.862717391304348,20.09803921568627,-2.4592647058823527,55.56576797385621,64.29738562091504,64.83657012687497,-0.5391845059599412,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zj2xieg6nctsabgzu65n"
Chris Oladokun,00-0037324,2024,REG,0,0,0.0,0,0.0,1.0,5.0,1,0,0.0,0.0,0.0,-1.3898326593916863,0,0.0,0.0,1,5.0,0,0.0,0.0,0.0,-0.5551090445369482,0,0.5,0.5,1,26.0,2.0,73.0,195.0,,,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l3cx5zsyz0nvwl4ycszo"
Clayton Tune,00-0038582,2023,REG,12,21,62.0,0,2.0,7.0,41.0,1,1,53.0,43.0,3.0,-34.74954317265656,0,2.183673469387755,-0.031238263083239848,8,30.0,1,1.0,0.0,3.0,-0.6412857836985495,1,7.4799999999999995,7.4799999999999995,6,25.0,1.0,75.0,220.0,2.7429,1.0936363636363635,2.8000000000000007,-1.706363636363637,10.0,-7.9,20.833333333333336,55.00000000000001,67.4459183216095,-12.44591832160949,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bbiianhnrupao5vm4onx"
Cooper Rush,00-0033662,2024,REG,187,308,1844.0,12,5.0,13.0,95.0,2,1,2137.0,942.0,92.0,-23.917515513453274,1,9.278142405075933,0.2132340281666109,26,18.0,0,7.0,2.0,5.0,-18.16656541298903,0,109.56,109.56,12,30.0,7.0,75.0,225.0,2.54971335504886,4.905294117647059,7.113795379537954,-2.208501261890895,19.805194805194805,-1.740990099009901,83.84740259740259,60.71428571428571,66.46422740713052,-5.749941692844814,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/amuag2qiwa9veml1lhvs"
Dak Prescott,00-0033077,2024,REG,185,286,1978.0,11,8.0,21.0,112.0,4,1,2270.0,939.0,87.0,-7.367385972918669,0,7.760683276928484,0.5714389775987134,13,54.0,1,0.0,0.0,5.0,4.512992455798667,0,116.52,116.52,8,31.0,8.0,74.0,238.0,2.788028070175439,5.409891891891892,7.817220216606498,-2.407328324714606,21.328671328671327,-1.0672563176895309,85.97027972027972,64.6853146853147,63.52698667222386,1.1583280130908309,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtaggdnhuyl4pdwtv8j"
Daniel Jones,00-0035710,2024,REG,216,341,2070.0,8,7.0,29.0,172.0,4,2,2509.0,944.0,106.0,-33.381812343811916,0,8.60143693917,0.8939496586325822,67,265.0,2,0.0,0.0,26.0,8.926219049462816,0,135.3,135.3,10,27.0,5.0,77.0,220.0,2.707498516320475,5.003611111111111,7.303396226415094,-2.299785115303983,14.95601173020528,-1.6557232704402518,79.42937438905182,63.34310850439883,64.41400392947834,-1.070895425079513,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zrhniboizqpxtdyz6gez"
Davis Mills,00-0036898,2022,REG,292,479,3118.0,17,15.0,31.0,244.0,5,2,3734.0,1524.0,135.0,-74.33538193844655,1,12.951780145008643,0.6581363686996168,32,108.0,2,3.0,1.0,8.0,2.1491521729541274,0,181.52,181.52,15,25.0,3.0,76.0,225.0,2.782920502092051,5.354965753424658,7.876745689655172,-2.521779936230514,15.24008350730689,-1.1857543103448271,78.78827418232429,60.96033402922756,63.62243589939305,-2.662101870165486,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ednftvn7qywdim05j7u5"
Derek Carr,00-0031280,2024,REG,189,279,2145.0,15,5.0,8.0,48.0,2,0,2178.0,1087.0,93.0,48.41037511315902,1,10.92704579766883,1.3298792139845894,17,71.0,1,1.0,0.0,4.0,-1.0944499316974543,0,150.9,150.9,10,33.0,10.0,75.0,210.0,2.7589175627240143,5.69026455026455,8.398664122137404,-2.708399571872854,11.11111111111111,-0.6776717557251909,101.02299880525688,67.74193548387096,64.389157274531,3.3527782093399594,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf"
Deshaun Watson,00-0033537,2024,REG,137,216,1148.0,5,3.0,33.0,191.0,3,2,1569.0,594.0,49.0,-62.594276007111645,1,5.922104388295908,0.23081758775228056,31,148.0,1,2.0,1.0,8.0,-1.8450406061772135,0,76.72,76.72,7,28.0,7.0,75.0,221.0,2.9389768518518515,3.8535036496350368,7.149142857142857,-3.29563920750782,16.666666666666664,-2.9699047619047616,79.01234567901234,63.42592592592593,65.57353710221058,-2.1476111762846486,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn"
Desmond Ridder,00-0038122,2023,REG,249,388,2836.0,12,12.0,31.0,197.0,6,4,3184.0,1222.0,136.0,-33.3997411758443,2,13.844087279382423,0.972303679258689,53,193.0,5,6.0,1.0,18.0,-14.43581715768457,0,180.14000000000001,181.14000000000001,15,25.0,2.0,75.0,215.0,2.695108808290155,6.240160642570281,8.147813333333334,-1.9076526907630529,14.948453608247425,-0.6708533333333332,83.44072164948454,64.17525773195877,65.62366954905471,-1.4484118170959448,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rhpusa7pfgd82d9ui6y7"
Dorian Thompson-Robinson,00-0038583,2024,REG,61,118,440.0,0,6.0,8.0,47.0,2,1,710.0,251.0,20.0,-71.14114697335754,0,2.7665676442281715,-0.1086996142317975,21,122.0,0,1.0,0.0,9.0,5.991397552657872,0,15.8,15.8,6,24.0,1.0,74.0,205.0,2.7603582085472538,3.6130677071466537,5.865796545821422,-2.252728838674769,10.197789021747498,-3.471312331331647,44.96136274734698,52.098047644574585,63.606211642888105,-11.508163998313526,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ujuyt3hpswlin3aahmhu"
Drake Maye,00-0039851,2024,REG,225,338,2276.0,15,10.0,34.0,229.0,5,4,2473.0,1192.0,112.0,-27.612309328381347,2,10.781350091050735,0.919672378385682,54,421.0,2,4.0,2.0,22.0,20.10827512247488,0,177.14,177.14,13,22.0,0.0,76.0,225.0,2.7382640949554897,4.619644444444445,7.328571428571429,-2.7089269841269843,15.384615384615383,-1.612422360248447,88.0793885601578,66.5680473372781,64.5362030670664,2.0318442702117068,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iy96wbyjth5ehizc0xq5"
Drew Lock,00-0035704,2024,REG,107,181,1071.0,6,5.0,12.0,88.0,4,2,1107.0,611.0,45.0,-42.722446811100696,1,5.72441772228719,0.3260651924544138,18,133.0,2,1.0,0.0,9.0,12.075437067076564,0,80.14,80.14,7,27.0,5.0,76.0,228.0,2.843622222222223,4.194485981308411,7.0648275862068965,-2.8703416048984858,17.12707182320442,-2.320229885057472,75.54097605893188,59.11602209944752,62.99905347231344,-3.883031372865915,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tlkgzjnuugarxjeoj9vk"
Easton Stick,00-0035282,2023,REG,111,174,1129.0,3,1.0,14.0,122.0,5,4,1204.0,581.0,53.0,-34.01198611579233,0,5.034459807814067,0.0802348585482139,27,144.0,1,0.0,0.0,11.0,8.037567018560367,0,67.56,67.56,5,28.0,5.0,73.0,224.0,2.8234161849710984,4.689099099099099,7.042899408284022,-2.3538003091849227,16.091954022988507,-1.868343195266272,85.63218390804597,63.793103448275865,65.67869926963387,-1.8855958213580024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ybdbylsv4ikjnmwornzo"
Gardner Minshew,00-0035289,2024,REG,203,306,2013.0,9,10.0,29.0,164.0,4,3,1847.0,1099.0,106.0,-47.06377278283449,1,11.152047865084327,0.5439865140461396,19,58.0,0,2.0,1.0,5.0,-7.564716533728642,0,96.32000000000001,96.32000000000001,10,28.0,5.0,73.0,225.0,2.7061122112211216,4.372364532019704,6.0305338078291815,-1.6581692758094777,17.320261437908496,-2.734590747330961,80.9640522875817,66.33986928104575,65.09322544401573,1.246643837030021,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zn2kvriijuixffqfx7ob"
Geno Smith,00-0030565,2024,REG,407,578,4320.0,21,15.0,50.0,338.0,4,0,3996.0,2181.0,209.0,24.594096387796093,0,21.209822271889777,1.9445400955113343,53,272.0,2,4.0,0.0,17.0,1.241315049061086,0,266.0,266.0,17,33.0,11.0,75.0,221.0,2.8323038194444448,5.143783783783784,7.172274368231046,-2.0284905844472627,12.45674740484429,-2.2176173285198555,93.20213379469436,70.41522491349481,67.15861683982105,3.2566080736737604,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izkm5yyxybb5uy5dkcgf"
Hendon Hooker,00-0038550,2024,REG,6,9,62.0,0,0.0,1.0,9.0,0,0,58.0,30.0,3.0,-2.076887565394496,0,3.421212121212121,0.0,5,2.0,0,0.0,0.0,1.0,-2.9957676058402285,0,2.68,2.68,3,26.0,1.0,75.0,218.0,,,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ym5l2he8pycechphzse6"
Jacoby Brissett,00-0033119,2024,REG,95,161,826.0,2,1.0,18.0,119.0,3,1,1093.0,437.0,41.0,-38.16767835544852,1,4.715298146932257,0.20683477984890117,15,62.0,0,1.0,0.0,5.0,3.1165734097594395,0,45.24,45.24,7,31.0,8.0,76.0,235.0,2.8744250000000005,4.091263157894737,7.110794701986755,-3.0195315440920183,18.012422360248447,-1.928940397350993,74.18478260869564,59.00621118012423,59.77254987040662,-0.7663386902823959,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dps7iuuc2zwl68yppqux"
Jake Browning,00-0035100,2023,REG,171,243,1936.0,12,7.0,24.0,169.0,3,0,1554.0,1109.0,93.0,22.299077136490972,1,11.328920130916005,1.0004042406985736,27,127.0,3,0.0,0.0,12.0,9.535520887743427,0,143.44,144.44,9,28.0,5.0,74.0,209.0,2.72861316872428,4.683040935672515,6.3211489361702125,-1.6381080004976978,16.46090534979424,-2.478851063829787,98.37962962962963,70.37037037037037,67.08378143026015,3.286588940110221,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kuxgw7azlwgyv2ptawvf"
