player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url
AJ Barner,00-0039793,2024,REG,30,38,245.0,4,0.0,0.0,136.0,164.0,18.0,11.08664151391713,0,33.639605407380344,0.08540757962899556,0.7484425220474016,2.317468937642088,48.5,78.5,14,22.0,0.0,78.0,251.0,6.447666666666667,4.098422384309206,1.104428571428572,2.329215743461216,78.57142857142857,5.440250000000001,4.077054542576878,1.3631954574231229,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msnzbeyjoemcas9dm8vt"
Adam Trautman,00-0036422,2023,REG,22,35,204.0,3,0.0,0.0,226.0,98.0,10.0,-1.0960956305936742,0,13.192445961679708,0.07683673336959974,1.4363607185850884,2.849534103879956,38.4,60.400000000000006,16,27.0,4.0,77.0,253.0,4.991666666666667,4.4112172623821495,5.229000000000001,16.10133950487411,90.0,2.825999999999999,4.12831647915868,-1.3023164791586805,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qvqigum2qjhil0z3er2c"
Albert Okwuegbunam,00-0036423,2022,REG,10,18,95.0,1,0.0,0.0,99.0,59.0,4.0,-2.2868509975230915,0,7.171732522796352,0.08645117273968365,0.48108071441333433,1.1148170547464868,15.5,25.5,6,26.0,4.0,77.0,255.0,4.538499999999999,3.1577500997180925,4.799999999999999,18.611877753555753,66.66666666666667,5.341333333333334,5.131348687437382,0.2099846458959524,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/noqvtfo4wlwq8lybmprg"
Andrew Ogletree,00-0037292,2023,REG,9,21,147.0,2,0.0,0.0,209.0,30.0,8.0,9.111151941033313,0,6.0884283884283885,0.06861380964397652,0.8474810853496113,1.6224439044043757,26.7,35.7,10,26.0,2.0,77.0,250.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrp8dougs6jb0denyorz"
Anthony Firkser,00-0033455,2022,REG,9,13,100.0,0,0.0,0.0,108.0,20.0,5.0,2.5137516588961253,0,7.872465254044202,0.0614012252249731,0.44060123583384747,1.0452355677833705,10.0,19.0,8,29.0,7.0,74.0,246.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rpbs9wsnuhu9tgipzwuv"
Armani Rogers,00-0037168,2022,REG,5,6,64.0,0,0.0,0.0,13.0,57.0,4.0,3.6208556117489934,0,4.933333333333334,0.03696138211382114,0.07829269536829218,0.3320152526114631,9.0,14.000000000000002,5,26.0,2.0,77.0,227.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g6lmbmhaju4jkhkcbk8u"
Austin Hooper,00-0032392,2024,REG,45,59,476.0,3,2.0,1.0,386.0,225.0,25.0,12.704732686969777,0,27.01440775174646,0.12186068529224038,1.835270424444419,4.392136772063223,63.6,108.60000000000001,17,29.0,8.0,76.0,254.0,5.450243902439025,3.5035941726597155,6.7923728813559325,10.780036153134349,76.27118644067797,4.923555555555555,3.6574960510963175,1.266059504459237,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hj0ybtjspne3t1cso961"
Baylor Cupp,00-0039316,2024,REG,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.6781798339216039,0,0.0,0.027777777777777776,0.0,0.041666666666666664,0.0,0.0,1,24.0,0.0,78.0,260.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pcvvfurbbzefkwnojcid"
Ben Sims,00-0038809,2023,REG,4,6,21.0,1,0.0,0.0,30.0,18.0,3.0,2.0139265662874095,0,4.0,0.030804510501518615,0.12562730052815976,0.36517970488337936,8.1,12.1,6,24.0,1.0,77.0,258.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfl9febpyc8nk2abxcf2"
Ben Sinnott,00-0039912,2024,REG,5,5,28.0,1,0.0,0.0,9.0,19.0,2.0,1.4494866821332835,0,6.833333333333334,0.0495557441992077,0.056469680374390124,0.3368632414573193,8.8,13.8,4,22.0,0.0,76.0,245.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zwjmu9wyutlpkace9ukf"
Blake Whiteheart,00-0038710,2024,REG,6,9,51.0,1,0.0,0.0,81.0,10.0,2.0,-3.7565755097894,0,5.111111111111111,0.03716668113852937,0.316019534961109,0.6114638264273347,11.1,17.1,7,24.0,1.0,76.0,243.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kwsgfizrabfarbea4dbd"
