Rank,Team,Players Active,Avg Age Team,Total Cap Top-51,Cap Space Top-51,Total Cap Allocations,Cap Space All
1,NE,61,26.5,191607908,122447401,199287908,114767401
2,LAC,46,26.2,190268746,93825148,190268746,93825148
3,WAS,52,27.4,215335605,83696959,215335605,83696959
4,ARI,64,26.1,213640424,76936763,224460424,66116763
5,SEA,56,26.0,220151346,67469716,223511346,64109716
6,TEN,52,26.4,231962323,61961553,231962323,61961553
7,JAX,49,26.0,234889794,60200409,234889794,60200409
8,MIN,56,26.9,226459695,58676540,228979695,56156540
9,DET,57,26.4,250067941,52864822,253427941,49504822
10,DAL,60,26.5,249337409,48705438,257257409,40785438
11,LV,62,26.2,264120779,48644572,273600779,39164572
12,NYG,54,26.5,235413257,44958791,235413257,44958791
13,CIN,62,26.3,241222929,43912246,249862929,35272246
14,GB,65,25.7,251053394,43257586,262813394,31497586
15,PIT,60,27.2,243754690,42276775,251314690,34716775
16,IND,58,26.5,248215342,41084247,254095342,35204247
17,DEN,60,26.5,240767380,40344259,246767380,34344259
18,CHI,55,26.5,246508966,37775494,249028966,35255494
19,NYJ,57,26.9,244329482,35216437,249369482,30176437
20,LA,57,26.4,247292118,34657585,251612118,30337585
21,SF,65,27.4,296392650,32904314,308872650,20424314
22,CAR,58,27.1,252638773,27051595,258638773,21051595
23,MIA,50,26.4,259764882,22436815,259764882,22436815
24,PHI,60,26.2,267759251,18247273,274599251,11407273
25,CLE,61,26.8,308298355,12852694,316818355,4332694
26,BAL,53,26.8,269668441,11668402,270508441,10828402
27,ATL,53,27.2,275631197,9637211,277311197,7957211
28,BUF,56,26.6,273894465,6645762,277254465,3285762
29,HOU,61,26.6,279447345,4564142,286167345,-2155858
30,TB,63,26.3,285034033,795345,294274033,-8444655
31,KC,54,26.2,288879341,-6534328,290559341,-8214328
32,NO,63,27.2,294056444,-11927271,303656444,-21527271
,Totals,1840,-,8037864705,1267254695,8201684705,1103434695
,Averages,57.5,26.6,251183272,39601709,256302647,34482334
