player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url
A.J. Brown,00-0035676,2024,REG,67,97,1079.0,7,0.0,0.0,1168.0,353.0,51.0,61.81116601604732,0,12.590755524689822,0.338552153296851,6.588092088375764,11.213431451151628,149.9,216.9,13,27.0,5.0,73.0,226.0,5.621030927835052,2.097740166108409,11.994536082474228,34.85029115046368,69.0721649484536,5.402835820895522,3.000230973773025,2.402604847122497,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw"
A.T. Perry,00-0038612,2023,REG,12,18,246.0,4,0.0,0.0,293.0,20.0,10.0,19.071494034456784,0,6.563505115574081,0.07227612202637558,1.2961994393081329,1.7746530718321998,48.6,60.6,8,24.0,1.0,77.0,205.0,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hmlejtujw0krefd40edq"
Adam Thielen,00-0030035,2024,REG,48,62,615.0,5,0.0,0.0,692.0,152.0,28.0,40.429083193776734,0,9.450610603418246,0.20403137819874573,2.622008899369427,4.895876902539785,91.5,139.5,10,34.0,11.0,74.0,200.0,6.405500000000001,3.004133022666708,10.949193548387097,16.23177108862975,77.41935483870968,3.508333333333333,3.686438253856961,-0.1781049205236282,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf"
Adonai Mitchell,00-0039890,2024,REG,23,55,312.0,0,1.0,0.0,775.0,101.0,16.0,-4.951546875899232,0,12.287504202082854,0.11211458679949642,2.72535752407407,4.766672230239008,30.76,53.76,17,21.0,0.0,74.0,196.0,6.012075471698113,2.628168480836233,14.716181818181816,15.821469690779685,41.81818181818181,4.552173913043476,4.943017201357579,-0.3908432883141026,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fztxucnxhoxep6utluyc"
Ainias Smith,00-0039747,2024,REG,7,9,41.0,1,0.0,0.0,38.0,23.0,1.0,-0.6391997685423121,0,6.897435897435898,0.09660657476139978,0.14028804050355773,0.5329312147787895,10.700000000000001,17.7,3,23.0,0.0,69.0,190.0,6.8116666666666665,2.585254457376144,6.240000000000002,14.106476771787053,66.66666666666666,3.909999999999997,3.008578477923038,0.901421522076959,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/curtawk9bzyg88w5jrg8"
Alec Pierce,00-0037664,2024,REG,37,69,824.0,7,0.0,0.0,1500.0,118.0,32.0,40.303085905961936,0,9.223963799260586,0.14812051835714823,4.673981810646251,6.826679708023933,124.4,161.4,16,24.0,2.0,75.0,213.0,5.748985507246376,2.4062970449637766,21.450289855072462,28.931519595290645,53.62318840579711,3.6445945945945937,2.887647507241973,0.7569470873526205,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hvtcpccoigf9cghzkxcg"
Alex Bachman,00-0035602,2024,REG,3,3,31.0,0,0.0,0.0,21.0,10.0,2.0,1.0225745011121035,0,1.4761904761904763,0.08108108108108109,0.11475409836065574,0.20194949047408065,3.1,6.1,1,28.0,5.0,72.0,190.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cwpp03jqrvyacbjbzkxb"
Alex Erickson,00-0032543,2023,REG,16,29,232.0,1,0.0,0.0,295.0,58.0,12.0,5.394800698268227,0,6.985115048018545,0.0942251813674414,1.1331049318116024,1.9238756286774183,29.200000000000003,45.2,8,31.0,8.0,72.0,195.0,6.632023809523809,2.5492136637833016,9.590071428571427,21.235919733951032,47.26190476190476,5.39047619047619,4.530396264422879,0.8600799260533117,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tnd77vbkyo8srrrkaisu"
Allen Lazard,00-0034521,2024,REG,37,61,530.0,6,0.0,0.0,686.0,155.0,29.0,29.926232110356914,0,13.79436261320092,0.14218268842436776,2.939367955618609,4.616845960571646,89.0,126.0,12,28.0,6.0,77.0,227.0,5.302105263157896,2.604798129246841,10.6735,16.328575580950634,61.66666666666667,4.729729729729729,4.213815871521045,0.515913858208684,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/blrzk3bfnpneuyhsqiqg"
Allen Robinson,00-0031428,2023,REG,34,49,280.0,0,0.0,0.0,370.0,68.0,9.0,-4.572062466759873,0,11.237670454700988,0.10964497645521247,1.6075721237440768,3.592312456863134,28.0,62.0,15,31.0,10.0,74.0,220.0,6.691276595744681,2.572043830719545,7.605,10.025321461723948,68.75,2.18,2.302662039475264,-0.122662039475264,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyukft9lraurbsq0laom"
Amari Cooper,00-0031544,2024,REG,44,85,547.0,4,0.0,0.0,1161.0,111.0,24.0,6.906823084573158,0,8.483874416281513,0.2069633639903317,4.356081451842356,7.085042614101117,78.7,122.7,13,30.0,9.0,73.0,211.0,6.03047619047619,2.6037789190710265,12.77905882352941,26.678881777052936,51.76470588235295,2.9238636363636363,3.355831824502902,-0.4319681881392663,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zmtzqznqui37unmo5xv9"
Amon-Ra St. Brown,00-0036963,2024,REG,115,141,1263.0,12,1.0,1.0,1081.0,412.0,71.0,96.38150294092755,0,21.18807654048581,0.26728275267549917,5.247274875198961,10.488802605864501,201.18,316.18,17,24.0,3.0,72.0,195.0,6.542890625000001,3.091643513003558,8.034184397163122,31.89748383754196,81.56028368794325,3.707304347826087,3.2094389241852985,0.4978654236407887,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jmfuamqblg8jag0stpnq"
Andre Baccellia,00-0035876,2022,REG,7,10,45.0,0,0.0,0.0,91.0,11.0,4.0,1.4270980003959286,0,4.665119047619047,0.048397223447615385,0.2927535285935746,0.5679066458726176,4.5,11.5,5,27.0,4.0,70.0,175.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwpbqdgupuwdvweolfyv"
Andrei Iosivas,00-0038619,2024,REG,36,61,479.0,6,0.0,0.0,692.0,67.0,26.0,23.963512064683744,0,11.66555533004009,0.09934527477904476,2.8383133563086553,4.5201238562817,83.9,119.9,17,24.0,1.0,75.0,200.0,5.021186440677966,2.764887984905392,11.278688524590164,14.712140295654146,59.01639344262295,2.342777777777778,2.052703980429317,0.290073797348461,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pgbqgzrxmbnmpcnkhsya"
Andy Isabella,00-0035527,2022,REG,2,5,21.0,0,0.0,0.0,70.0,5.0,2.0,0.3533556764500596,0,0.6083333333333334,0.0398989898989899,0.2332638825980614,0.3428301723640975,2.2,4.2,3,27.0,5.0,69.0,190.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qpqphhsofn96dvojfsx1"
Anthony Gould,00-0039816,2024,REG,1,1,23.0,0,0.0,0.0,18.0,5.0,1.0,1.8886133068008348,0,1.2777777777777777,0.027777777777777776,0.05714285714285714,0.08166666666666667,2.3000000000000003,3.3000000000000003,1,23.0,0.0,68.0,172.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dnpsavsditrxjiqobxst"
Anthony Miller,00-0034353,2024,REG,1,1,16.0,0,0.0,0.0,15.0,1.0,1.0,2.180934162577614,0,1.0666666666666667,0.0625,0.07936507936507936,0.14930555555555555,1.6,2.6,1,29.0,6.0,71.0,199.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uvxiydh3yxydavl2fgpr"
Anthony Schwartz,00-0036999,2022,REG,4,10,51.0,0,1.0,1.0,142.0,27.0,2.0,-7.990639030584134,0,6.6648148148148145,0.05032193432928727,0.40632490473561544,0.7373248422785162,14.8,18.8,6,23.0,3.0,72.0,179.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wqrxhwwlgpjkb6w8edgo"
Antoine Green,00-0038627,2023,REG,1,2,2.0,0,0.0,0.0,11.0,1.0,0.0,-3.5383273064508103,0,2.0,0.02490996398559424,0.03140125249412276,0.09671076870266863,0.2,1.2,2,24.0,1.0,74.0,200.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x5jwwdjpwiwe5sdtjzsd"
Ashton Dulin,00-0035021,2022,REG,15,22,207.0,1,0.0,0.0,252.0,35.0,12.0,8.30038729403168,0,7.858328692100622,0.08919659500009548,0.9483109735927442,1.6003819290159236,27.500000000000004,42.5,7,27.0,5.0,74.0,215.0,6.702976190476191,2.231430182548731,14.611785714285714,31.474874093072394,60.714285714285715,3.326666666666667,2.668288263793958,0.6583784028727091,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/so1vzml0sxv84xoyyr2n"
Austin Trammell,00-0036841,2023,REG,4,7,29.0,0,0.0,0.0,25.0,35.0,2.0,-3.0054264192585833,0,2.3499999999999996,0.12196679438058748,0.1516592686535616,0.4720618711992556,2.9000000000000004,6.9,2,26.0,3.0,70.0,185.0,5.18,4.824562711785551,3.608333333333333,13.261868300153145,50.0,11.283333333333331,10.77381635070454,0.5095169826287922,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/spxcsfhejojjtk2ruqbw"
Ben Skowronek,00-0036862,2022,REG,39,61,376.0,0,0.0,0.0,475.0,142.0,16.0,-5.488619681622367,0,12.235685921293133,0.1374138186257068,2.107736985396307,4.361106080917257,45.300000000000004,84.30000000000001,14,27.0,3.0,75.0,220.0,7.234893617021277,3.378432049189742,7.495901639344261,12.684968901366563,63.934426229508205,3.966923076923076,4.089147788652326,-0.1222247117292498,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/piiqiz29g3jukdwkihw3"
Bo Melton,00-0037091,2023,REG,16,24,218.0,1,0.0,0.0,267.0,37.0,13.0,8.540199223249303,0,2.8899665019836815,0.19244516716943189,1.027106227106227,1.87364536199095,29.900000000000002,45.900000000000006,4,25.0,2.0,71.0,195.0,7.503821428571428,3.135341683292332,11.470185185185187,32.42754472564864,68.25396825396825,2.289388888888887,2.310429956836654,-0.021041067947766556,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bhmhwurwugjmymgjforf"
Brandin Cooks,00-0031236,2024,REG,26,54,259.0,3,0.0,0.0,634.0,55.0,19.0,-11.122766286566897,0,5.751777715446384,0.16577215924300762,2.4672794536240956,4.213678006181981,43.6,69.6,10,30.0,10.0,70.0,183.0,6.237924528301886,2.1633950295248603,12.583703703703703,14.664960301103028,48.14814814814815,2.364615384615385,2.9965910200593333,-0.6319756354439487,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop"
Brandon Aiyuk,00-0036261,2024,REG,25,47,374.0,0,0.0,0.0,556.0,107.0,19.0,12.814397382476514,0,4.517072758282481,0.22194860612546932,1.92753889997754,3.6797375943017054,37.400000000000006,62.400000000000006,7,26.0,4.0,72.0,206.0,5.195744680851065,2.3546868965845738,12.632978723404255,13.49695622326182,53.191489361702125,3.7124,2.8622835629764505,0.8501164370235497,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qnfyhqxbppevv28hd3rx"
Brandon Johnson,00-0037382,2023,REG,19,30,284.0,4,0.0,0.0,328.0,89.0,12.0,20.30865455165671,1,6.188984817998902,0.09849592537092537,1.4564378278520596,2.496945360060322,54.400000000000006,73.4,10,26.0,2.0,74.0,186.0,6.816,2.702737886180641,11.121888888888888,22.067455127397594,68.88888888888889,5.363055555555557,3.548268746738545,1.814786808817012,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vb8zdr36pece37wq6eth"
Brandon Powell,00-0034646,2023,REG,29,44,324.0,1,0.0,0.0,332.0,104.0,18.0,-1.467711050703791,0,12.042031214399636,0.0959910345260741,1.1903636982338992,2.7050797620221743,40.1,69.1,13,28.0,6.0,68.0,189.0,6.276375,2.8813886877602806,8.132833333333332,17.21067891005195,76.66666666666666,4.377500000000001,4.805886159357641,-0.42838615935764013,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kpggzzkazhxoq4e77xho"
