Name,Position,Age,YOE,Prev Team,AAV,Type
Stefon Diggs,WR,31.2,10.0,HOU,22520000,UFA
Tee Higgins,WR,26.0,5.0,CIN,21816000,UFA
Keenan Allen,WR,32.8,12.0,CHI,20025000,UFA
Amari Cooper,WR,30.6,10.0,BUF,20000000,UFA
Chris Godwin,WR,28.9,8.0,TB,20000000,UFA
Brandin Cooks,WR,31.3,11.0,DAL,19882000,UFA
Khalil Mack,OLB,33.9,10.0,LAC,19200000,UFA
Zack Martin,G,34.2,10.0,DAL,18425000,UFA
Diontae Johnson,WR,28.5,6.0,HOU,18355000,UFA
Cam Robinson,LT,29.2,8.0,MIN,18000000,UFA
Brandon Scherff,G,33.1,10.0,JAX,16500000,UFA
Haason Reddick,OLB,30.3,8.0,NYJ,15000000,UFA
Carlton Davis,CB,28.1,7.0,DET,14500000,UFA
Matt Judon,OLB,32.4,9.0,ATL,13625000,UFA
Charvarius Ward,CB,29.7,7.0,SF,13500000,UFA
Joseph Noteboom,T,29.6,7.0,LAR,13333333,UFA
DeMarcus Lawrence,DE,32.8,11.0,DAL,13333333,UFA
DeAndre Hopkins,WR,32.6,12.0,KC,13000000,UFA
Ryan Kelly,C,31.7,9.0,IND,12500000,UFA
D.J. Reed,CB,28.2,7.0,NYJ,11000000,UFA
Justin Reid,S,27.9,7.0,KC,10500000,UFA
Josh Sweat,DE,27.8,7.0,PHI,10000000,UFA
B.J. Hill,DT,29.8,7.0,CIN,10000000,UFA
D.J. Jones,DT,30.0,8.0,DEN,10000000,UFA
Sam Darnold,QB,27.6,7.0,MIN,10000000,UFA
Mike Williams,WR,30.2,8.0,PIT,10000000,UFA
Jonathan Jones,CB,31.3,9.0,NE,9500000,UFA
James Daniels,G,27.3,7.0,PIT,8833333,UFA
Zach Wilson,QB,25.4,4.0,DEN,8787670,UFA
Austin Corbett,C,29.3,7.0,CAR,8750000,UFA
Byron Murphy,CB,27.0,6.0,MIN,8750000,UFA
Chase Young,DE,25.8,5.0,NO,8640899,UFA
Trey Lance,QB,24.7,4.0,DAL,8526319,UFA
Lavonte David,ILB,35.0,13.0,TB,8500000,UFA
Jeff Okudah,CB,25.9,5.0,HOU,8382136,UFA
Dre Greenlaw,LB,27.7,6.0,SF,8200000,UFA
Charles Omenihu,DE,27.4,6.0,KC,8000000,UFA
Jacoby Brissett,QB,32.1,9.0,NE,8000000,UFA
Robert Woods,WR,32.8,12.0,HOU,7625000,UFA
Ronnie Stanley,LT,30.8,9.0,BAL,7500000,UFA
Justin Simmons,FS,31.2,9.0,ATL,7500000,UFA
Rasul Douglas,CB,30.4,8.0,BUF,7000000,UFA
Taylor Heinicke,QB,31.8,7.0,LAC,7000000,UFA
Aaron Jones,RB,30.1,8.0,MIN,7000000,UFA
Marquise Brown,WR,27.6,6.0,KC,7000000,UFA
Jerome Baker,OLB,28.1,7.0,TEN,7000000,UFA
Stephon Gilmore,CB,34.3,13.0,MIN,7000000,UFA
Tyrann Mathieu,FS,32.7,11.0,NO,6875000,UFA
Tyler Conklin,TE,29.5,7.0,NYJ,6750000,UFA
Marcus Davenport,DE,28.3,7.0,DET,6500000,UFA
Bobby Wagner,ILB,34.6,13.0,WAS,6500000,UFA
Tyron Smith,LT,34.1,14.0,NYJ,6500000,UFA
Juwan Johnson,TE,28.3,5.0,NO,6000000,UFA
Mike Hilton,CB,30.8,8.0,CIN,6000000,UFA
Donte Jackson,CB,29.2,7.0,PIT,6000000,UFA
Marcus Epps,S,29.0,6.0,LV,6000000,UFA
Darius Slayton,WR,28.0,6.0,NYG,6000000,UFA
Marcus Mariota,QB,31.2,10.0,WAS,6000000,UFA
Kevin Zeitler,G,34.8,13.0,DET,6000000,UFA
Mo Alie-Cox,TE,31.3,7.0,IND,5850000,UFA
Deatrich Wise,DE,30.5,8.0,NE,5500000,UFA
Isaiah Simmons,LB,26.5,5.0,NYG,5166014,UFA
Patrick Mekari,G,27.4,6.0,BAL,5150000,UFA
C.J. Henderson,CB,26.3,5.0,PIT,5129005,UFA
Foley Fatukasi,DE,29.8,7.0,HOU,5125000,UFA
De'Vondre Campbell,ILB,31.5,9.0,GB,5000000,UFA
Xavier Woods,S,29.5,8.0,CAR,5000000,UFA
Morgan Moses,RT,33.8,11.0,NYJ,5000000,UFA
Jarrett Stidham,QB,28.4,6.0,DEN,5000000,UFA
Kyzir White,OLB,28.8,8.0,ARI,5000000,UFA
Andy Dalton,QB,37.2,14.0,CAR,5000000,UFA
Anthony Nelson,OLB,27.8,6.0,TB,5000000,UFA
Drew Lock,QB,28.2,6.0,NYG,5000000,UFA
De'Vondre Campbell,ILB,31.5,9.0,SF,5000000,UFA
Jedrick Wills,T,25.7,5.0,CLE,4925729,UFA
Alaric Jackson,T,26.5,4.0,LAR,4890000,UFA
Trenton Brown,RT,31.8,10.0,CIN,4750000,UFA
Justin Fields,QB,25.8,4.0,PIT,4717989,UFA
