player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,Position,Age,YOE,Prev Team,AAV,Type,ngs_avg_time_to_throw,ngs_avg_completed_air_yards,ngs_avg_intended_air_yards,ngs_avg_air_yards_differential,ngs_aggressiveness,ngs_avg_air_yards_to_sticks,ngs_passer_rating,ngs_completion_percentage,ngs_expected_completion_percentage,ngs_completion_percentage_above_expectation,headshot_url
Sam Darnold,2024,REG,361,545,4319.0,35,12.0,48.0,335.0,5,2,4606.0,1753.0,207.0,50.57475067137308,0,16.66439904250979,2.378524071645902,67,212.0,1,3.0,2.0,23.0,-3.1438761358859426,0,307.96,307.96,17,27.0,6,75.0,225,QB,27.7,7,MIN,10000000,UFA,3.130893616579065,6.79171553644333,9.113715930626899,-2.32200039418357,14.385583239353842,0.24141556014624463,98.23484987297077,63.9812641680713,61.033857714829715,2.9474064532415887,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/agjgfwk9jk9ufoac2vpd"
Russell Wilson,2024,REG,214,336,2482.0,16,5.0,33.0,219.0,3,2,2668.0,1122.0,112.0,-0.9645129991215988,0,10.591329886787014,1.2347437409325086,43,155.0,2,2.0,2.0,16.0,-7.594189534254838,0,172.78,172.78,11,35.0,12,71.0,215,QB,36.2,13,PIT,1210000,UFA,2.962721411996042,5.756824272034853,8.116295269966022,-2.35947099793117,13.51448457967996,-1.1173856309383405,93.48895351769524,63.52568834141531,63.95324008423952,-0.42755174282418423,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre"
Jameis Winston,2024,REG,181,296,2121.0,13,12.0,24.0,130.0,5,2,2640.0,765.0,103.0,-26.844956939174565,4,6.205245238957251,0.6874011571163273,25,83.0,1,0.0,0.0,17.0,16.702675447857473,0,131.14,131.14,11,30.0,9,76.0,231,QB,31.1,10,CLE,4000000,UFA,2.744674689086725,7.562076684368737,10.061488495310005,-2.4994118109412704,19.275521934761898,1.206629930179986,77.59721483187833,61.706772914410486,61.37172450441161,0.33504840999886853,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/chdeosreuupotgq0eqlm"
Daniel Jones,2024,REG,216,341,2070.0,8,7.0,29.0,172.0,4,2,2509.0,944.0,106.0,-33.381812343811916,0,8.60143693917,0.8939496586325822,67,265.0,2,0.0,0.0,26.0,8.926219049462816,0,135.3,135.3,10,27.0,5,77.0,220,QB,27.7,5,MIN,302400,UFA,2.795510819133735,4.750844024651653,6.625092720639691,-1.8742486959880373,13.494951585651663,-2.4430227763328065,86.74868690062236,66.61880315172627,65.71275737610543,0.9060457756208184,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zrhniboizqpxtdyz6gez"
Cooper Rush,2024,REG,187,308,1844.0,12,5.0,13.0,95.0,2,1,2137.0,942.0,92.0,-23.917515513453274,1,9.278142405075933,0.2132340281666109,26,18.0,0,7.0,2.0,5.0,-18.16656541298903,0,109.56,109.56,12,30.0,7,75.0,225,QB,31.2,8,DAL,2500000,UFA,2.542789473292456,5.607167159184332,7.599435611123235,-1.992268451938903,21.378125273088596,-1.1654040474638254,84.65314445221836,59.67319462442442,65.12624540510932,-5.453050780684899,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/amuag2qiwa9veml1lhvs"
Joe Flacco,2024,REG,162,248,1761.0,12,7.0,18.0,123.0,3,3,2215.0,651.0,87.0,2.9993858721668687,0,5.588957026193659,0.7075546323521819,9,26.0,0,1.0,1.0,2.0,-7.002136736351531,0,99.04,99.04,7,39.0,16,78.0,245,QB,40.1,17,IND,4500000,UFA,2.8138695532346896,6.537488691123395,8.655413134465757,-2.1179244433423614,16.735249375478748,-0.3497382395459017,86.45042860122581,62.23523978027199,62.710804661776706,-0.4755648815047042,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc"
Mac Jones,2024,REG,171,262,1672.0,8,8.0,14.0,100.0,1,1,1928.0,908.0,77.0,-2.457469664451563,1,10.173735852278122,0.6775038802171558,28,92.0,1,1.0,1.0,12.0,0.6996301682653483,0,96.08,96.08,10,25.0,3,75.0,214,QB,26.4,4,JAX,3896588,UFA,2.6275949092028257,4.6372479066305985,7.329137414121458,-2.6918895074908593,15.257927463948677,-1.6904076832449773,79.82067173042215,65.103169101199,66.48103520672707,-1.3778661055280532,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pedpdxybeus7mrovsoko"
Mason Rudolph,2024,REG,146,228,1530.0,9,9.0,11.0,71.0,2,0,1630.0,656.0,78.0,-1.936141146490229,1,9.980285082644663,0.6825923789520694,25,106.0,1,3.0,1.0,13.0,4.988986552950049,0,95.8,95.8,8,29.0,6,77.0,235,QB,29.6,7,TEN,2870000,UFA,2.758491794822406,5.6976737084251425,7.26420744575574,-1.5665337373305965,12.731711757103747,-1.3787542386008447,88.99343953709304,66.00474109872309,62.01114763300608,3.993593465717004,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pn938e0z2fobxmzfxmlh"
Justin Fields,2024,REG,106,161,1106.0,5,1.0,16.0,124.0,2,1,1251.0,520.0,45.0,8.539870473925077,0,5.793125192760048,0.5996360852413722,62,289.0,5,4.0,0.0,19.0,2.4346262689507974,0,119.14,119.14,10,25.0,3,75.0,223,QB,25.9,4,PIT,4717989,UFA,3.1557246282450815,6.150553467707542,8.656859663348294,-2.506306195640753,10.830276153569447,-0.6647325977509012,87.99057922410655,61.57700495345547,63.596106773792194,-2.019101820336728,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vqcvybvs1vlqhkjvujbg"
Drew Lock,2024,REG,107,181,1071.0,6,5.0,12.0,88.0,4,2,1107.0,611.0,45.0,-42.722446811100696,1,5.72441772228719,0.3260651924544138,18,133.0,2,1.0,0.0,9.0,12.075437067076564,0,80.14,80.14,7,27.0,5,76.0,228,QB,28.2,6,NYG,5000000,UFA,2.7645848910046458,4.586268189731288,7.01120961235185,-2.4249414226205617,16.19377710664854,-2.415096829831042,84.17217832182452,63.92724280159692,65.66898013344365,-1.7417373318467275,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tlkgzjnuugarxjeoj9vk"
