player_name,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,Name,Position,Age,YOE,Prev Team,AAV,Type
Michael Burton,2024,REG,7,8.0,1,0.0,0.0,3.0,-1.0444718406361062,0,10,10,65.0,1,0.0,0.0,24.0,41.0,3.0,4.411656428244896,0,10.980392156862745,0.29270398461187935,0.08874076787421555,19.3,29.3,11,32.0,9,71.0,240,Michael Burton,FB,33.0,10.0,DEN,1210000,UFA
Ameer Abdullah,2024,REG,66,311.0,2,1.0,1.0,14.0,-7.581538221371561,0,40,47,261.0,3,0.0,0.0,31.0,252.0,16.0,11.852883492729346,0,20.74117216117216,1.2987846248555968,0.12517573144690486,85.2,125.2,13,31.0,9,69.0,203,Ameer Abdullah,RB,31.6,10.0,LV,1850000,UFA
Aaron Jones,2024,REG,255,1138.0,5,3.0,1.0,49.0,-13.446157851263338,0,51,62,408.0,2,2.0,2.0,54.0,411.0,20.0,3.297681135018966,0,-10.676289538074435,2.069369750443312,0.1497497783475827,190.60000000000002,241.6,17,29.0,7,69.0,208,Aaron Jones,RB,30.2,8.0,MIN,7000000,UFA
Patrick Ricard,2024,REG,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,22.0,1,0.0,0.0,6.0,18.0,1.0,1.9607679708860815,0,19.5,0.19810008893200742,0.03825482336638234,8.2,11.2,5,30.0,7,75.0,311,Patrick Ricard,FB,30.7,8.0,BAL,3750000,UFA
Samaje Perine,2024,REG,20,92.0,1,0.0,0.0,7.0,-0.6897319894387277,0,28,35,322.0,1,0.0,0.0,11.0,313.0,16.0,14.760987969615641,0,40.22799422799423,1.0269846725949752,0.059622480461481726,53.4,81.4,17,28.0,7,70.0,240,Samaje Perine,RB,29.3,8.0,KC,1500000,UFA
Dare Ogunbowale,2024,REG,30,112.0,0,0.0,0.0,5.0,-8.395482421772975,0,19,28,198.0,1,0.0,0.0,48.0,168.0,8.0,5.609657743816625,0,11.095382395382396,0.8477729630022587,0.15925327639950332,37.0,56.0,15,30.0,7,71.0,205,Dare Ogunbowale,RB,30.8,6.0,HOU,1500000,UFA
Kareem Hunt,2024,REG,200,728.0,7,0.0,0.0,42.0,2.1483876313845216,0,23,32,176.0,0,0.0,0.0,-58.0,216.0,10.0,3.0172128671776366,0,18.108333333333334,0.8725156626621552,-0.24173479399781694,132.4,155.4,13,29.0,7,71.0,216,Kareem Hunt,RB,29.5,8.0,KC,1210000,UFA
D'Onta Foreman,2024,REG,71,232.0,0,2.0,1.0,10.0,-24.159471105609555,0,6,8,54.0,0,0.0,0.0,1.0,48.0,1.0,0.8397850546753034,0,-0.34761904761904727,0.2610384959664535,0.01624698319041413,26.6,32.6,10,28.0,7,73.0,233,D'Onta Foreman,RB,28.8,8.0,CLE,1125000,UFA
Jeremy McNichols,2024,REG,55,261.0,4,0.0,0.0,15.0,7.9352832524156955,1,9,12,27.0,0,0.0,0.0,20.0,33.0,1.0,-1.2831246035639197,0,6.5,0.3785564381383566,0.06537721174884195,54.800000000000004,63.800000000000004,14,28.0,7,69.0,205,Jeremy McNichols,RB,29.1,4.0,WAS,1125000,UFA
Jeff Wilson,2024,REG,16,57.0,0,0.0,0.0,3.0,-4.626434945375593,0,3,3,19.0,0,0.0,0.0,0.0,19.0,0.0,0.5416194528806955,0,-5.0,0.07627627627627628,0.0003787786222233082,7.6000000000000005,10.600000000000001,7,28.0,6,72.0,194,Jeff Wilson,RB,29.2,7.0,MIA,3000000,UFA
Mike Boone,2024,REG,13,51.0,0,0.0,0.0,3.0,-0.974716876691673,0,1,3,-2.0,0,0.0,0.0,-14.0,2.0,0.0,-3.89994317345554,0,0.5,0.11948051948051948,-0.04579796264855687,4.9,5.9,5,29.0,6,70.0,205,Mike Boone,RB,29.6,7.0,CAR,1125000,UFA
Nick Chubb,2024,REG,102,332.0,3,1.0,1.0,17.0,-20.57457828947537,0,5,11,31.0,1,0.0,0.0,-5.0,31.0,3.0,-16.317357186810113,0,2.6666666666666665,0.26342140160197036,-0.002327074913063337,58.3,63.3,8,28.0,6,71.0,225,Nick Chubb,RB,29.1,7.0,CLE,2275000,UFA
Alexander Mattison,2024,REG,132,420.0,4,1.0,1.0,25.0,-30.891997679007826,1,36,48,294.0,1,0.0,0.0,-4.0,314.0,13.0,-6.277238814333214,0,-25.742261904761904,1.411990117137176,-0.05405431171059041,101.4,137.4,14,26.0,5,71.0,220,Alexander Mattison,RB,26.6,6.0,LV,2000000,UFA
