Rank,Team,Players Active,Avg Age Team,Total Cap Top-51,Cap Space Top-51,Total Cap Allocations,Cap Space All
1,"NE

 NE",52,26.5,185799516,124055793,186639516,123215793
2,"LV

 LV",54,25.8,213393948,95171403,215913948,92651403
3,"WAS

 WAS",43,26.8,212421941,82410623,212421941,82410623
4,"ARI

 ARI",60,25.9,215060747,71316440,222860747,63516440
5,"CHI

 CHI",47,26.3,213154966,66929494,213154966,66929494
6,"LAC

 LAC",46,26.2,215200045,64693849,215200045,64693849
7,"MIN

 MIN",54,27.0,219798047,61138188,222318047,58618188
8,"DET

 DET",52,26.5,241756642,56976121,241756642,56976121
9,"SF

 SF",60,27.8,274740055,50356909,281580055,43516909
10,"TEN

 TEN",48,26.2,239936823,49787053,239936823,49787053
11,"CIN

 CIN",55,26.2,231157768,49777407,234517768,46417407
12,"NYG

 NYG",46,26.2,229057974,47114074,229057974,47114074
13,"GB

 GB",60,25.5,245549259,44561721,253109259,37001721
14,"PIT

 PIT",58,27.3,238647690,43183775,244527690,37303775
15,"LAR

 LAR",56,26.4,237546899,40202804,241986899,35762804
16,"DEN

 DEN",52,26.4,239587380,37324259,240427380,36484259
17,"JAX

 JAX",54,26.6,257237442,33652761,259877442,31012761
18,"IND

 IND",59,26.6,254025342,31074247,260745342,24354247
19,"PHI

 PHI",49,26.6,256910251,24896273,256910251,24896273
20,"CAR

 CAR",54,27.1,252839490,22650878,255359490,20130878
21,"NYJ

 NYJ",60,27.4,259554695,15791224,267114695,8231224
22,"KC

 KC",37,26.4,262404008,15741005,262404008,15741005
23,"BAL

 BAL",53,26.8,268217971,8918872,269897971,7238872
24,"TB

 TB",62,26.2,275956033,5673345,285196033,-3566655
25,"HOU

 HOU",56,26.6,277982877,1828610,282182877,-2371390
26,"DAL

 DAL",55,26.5,296223317,-2380470,299583317,-5740470
27,"ATL

 ATL",53,27.4,289716197,-8647789,291396197,-10327789
28,"BUF

 BUF",59,27.1,286802733,-10462506,292802732,-16462505
29,"MIA

 MIA",50,26.8,293861338,-15859641,293861338,-15859641
30,"SEA

 SEA",59,26.5,308728596,-25307534,315808596,-32387534
31,"CLE

 CLE",59,27.1,344464444,-27513395,351184444,-34233395
32,"NO

 NO",61,27.3,329062986,-51133813,337942986,-60013813
,Totals,1723,-,8166797420,1003921980,8277677419,893041981
,Averages,53.8,26.6,255212419,31372562,258677419,27907562
