posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,7.0,,0.36546513,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,3.0,,0.22310843,3.0,2.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,4.0,,-0.072753884,10.0,1.0
ATL,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,9.0,-0.8997198,6.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,3.0,pass,15.0,12.0,2.1237583,6.0,3.0
ATL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,13.0,,0.76239336,5.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,5.0,,0.0666142,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,3.0,pass,8.0,5.0,0.44929993,5.0,2.0
ATL,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,-3.0,,-0.9819462,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,2.0,-0.8211486,13.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,7.0,pass,7.0,0.0,-0.70527446,13.0,3.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,11.0,pass,9.0,-2.0,0.83705914,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,12.0,-5.1219907,1.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,0.0,pass,7.0,7.0,0.28110915,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,4.0,,0.448921,3.0,2.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,3.0,,-0.30292663,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,13.0,pass,8.0,-5.0,0.89548695,7.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,2.0,-0.49596655,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,0.0,,-0.8510471,10.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,19.0,-1.5024506,10.0,3.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,6.0,pass,9.0,3.0,0.64790857,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,3.0,,0.06454177,1.0,2.0
ATL,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,deep,middle,,,1.0,pass,20.0,19.0,1.1018351,10.0,1.0
ATL,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,6.0,5.0,0.22230236,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-0.6451969,4.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,6.0,pass,5.0,-1.0,0.90033686,4.0,3.0
ATL,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,19.0,pass,14.0,-5.0,0.7209058,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,1.0,pass,16.0,15.0,1.225737,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,0.0,pass,12.0,12.0,2.0070777,5.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,4.0,,-0.26402205,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,4.0,,-0.10784529,6.0,2.0
ATL,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-1.2338921,2.0,3.0
ATL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,10.0,,2.7350109,1.0,4.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,run,0.0,,-5.980317,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,7.0,,0.3392314,10.0,1.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.5788535,3.0,2.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,2.0,,-0.52699816,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-9.0,,-1.7380401,8.0,2.0
ATL,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,4.0,3.0,-0.88547593,17.0,3.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,5.0,,-0.07288984,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-7.0,-0.7187831,15.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,11.0,-1.2218535,15.0,3.0
ATL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,3.0,,-0.4338803,10.0,1.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-4.0,-0.6319275,11.0,2.0
ATL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,1.0,pass,8.0,7.0,-0.17634118,11.0,3.0
ATL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,13.0,,0.8225098,10.0,1.0
ATL,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,14.0,-7.282837,10.0,1.0
