posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
BAL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,2.0,,-0.2951766,10.0,1.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,6.0,pass,2.0,-4.0,-0.3894655,13.0,2.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,17.0,pass,18.0,1.0,2.7542496,11.0,3.0
BAL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,1.0,,-0.49373695,10.0,1.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-6.0,-0.9004278,9.0,2.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,middle,,,1.0,pass,19.0,18.0,2.672819,9.0,3.0
BAL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,6.0,,0.30748972,10.0,1.0
BAL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,3.0,,0.0026835543,4.0,2.0
BAL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,11.0,,0.98694724,1.0,3.0
BAL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,8.0,,0.6042371,10.0,1.0
BAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,5.0,,1.4316431,2.0,2.0
BAL,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,left,,,4.0,pass,15.0,11.0,0.9958749,10.0,1.0
BAL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.4171427,10.0,1.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,3.0,3.0,-0.5346633,9.0,2.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,2.0,pass,1.0,-1.0,-1.477932,6.0,3.0
BAL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-6.0,,-5.5761337,10.0,1.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,10.0,pass,7.0,-3.0,0.42659855,10.0,1.0
BAL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,6.0,,0.46111998,3.0,2.0
BAL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,7.0,pass,5.0,-2.0,0.1226536,10.0,1.0
BAL,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,guard,,run,5.0,,-0.103667505,15.0,2.0
BAL,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,7.0,,-0.82625145,10.0,3.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,2.0,pass,1.0,-1.0,-2.6526613,3.0,4.0
BAL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,6.0,,0.2633819,10.0,1.0
BAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,9.0,,0.75509804,4.0,2.0
BAL,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,middle,,,run,13.0,,0.58893,10.0,1.0
BAL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,3.0,,-0.27226624,15.0,1.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,11.0,pass,9.0,-2.0,0.36705935,17.0,2.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,1.0,-1.2331531,8.0,3.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,13.0,pass,7.0,-6.0,0.42487544,10.0,1.0
BAL,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,left,guard,,run,10.0,,0.5497564,3.0,2.0
BAL,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,left,end,,run,6.0,,0.21251152,10.0,1.0
BAL,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,6.0,pass,9.0,3.0,0.48364875,4.0,2.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,6.0,pass,9.0,3.0,0.44879884,10.0,1.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.42205182,1.0,2.0
BAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,3.0,,0.44341946,1.0,3.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-2.0,-0.77427584,7.0,1.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-3.0,-0.6262414,7.0,2.0
BAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-2.0,-0.54395485,10.0,1.0
BAL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,4.0,pass,-2.0,-6.0,-1.347143,10.0,2.0
