posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,9.0,,0.6488184,10.0,1.0
BUF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,3.0,,0.03945768,1.0,2.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,1.0,pass,14.0,13.0,0.913284,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-10.0,,-6.0446496,10.0,1.0
BUF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,15.0,,0.8160086,10.0,1.0
BUF,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,right,guard,,run,5.0,,-0.022938924,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,17.0,pass,23.0,6.0,1.8701105,5.0,2.0
BUF,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,9.0,,0.69790316,10.0,1.0
BUF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,4.0,,0.063546136,1.0,2.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,0.13047747,8.0,1.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,0.0,,-1.0088047,4.0,2.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-0.4774712,19.0,3.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.11117035,15.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,8.0,5.0,0.45145094,9.0,2.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,11.0,pass,19.0,8.0,1.8934377,6.0,3.0
BUF,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,6.0,,0.567123,15.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,11.0,pass,12.0,1.0,1.029534,10.0,1.0
BUF,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,guard,,run,7.0,,0.30951807,10.0,1.0
BUF,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,7.0,,2.160068,3.0,2.0
BUF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.82271934,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,10.0,pass,4.0,-6.0,-0.3945522,19.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,4.0,4.0,-0.36670372,15.0,2.0
BUF,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,12.0,pass,25.0,13.0,3.1290228,11.0,3.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,-2.0,,-1.0864855,10.0,1.0
BUF,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,left,,,12.0,pass,14.0,2.0,1.8925047,12.0,2.0
BUF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,13.0,,0.5300696,10.0,1.0
BUF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,0.0,,-0.47655338,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-4.0,-0.78466415,10.0,2.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,0.0,pass,11.0,11.0,2.9797974,10.0,3.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,9.0,pass,3.0,-6.0,-0.28545183,10.0,1.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,0.0,,-0.77065974,7.0,2.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,41.0,-1.3939693,7.0,3.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,1.0,,-0.49274206,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,7.0,7.0,0.39545456,9.0,2.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,1.0,,-0.81651807,2.0,3.0
BUF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,1.0,,1.3437175,1.0,4.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,13.0,pass,11.0,-2.0,1.7615445,10.0,1.0
BUF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,6.0,,0.2958888,10.0,1.0
BUF,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,left,,,5.0,pass,19.0,14.0,1.1874086,4.0,2.0
BUF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,1.0,,-0.5043307,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,13.0,-0.8196869,9.0,2.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,6.0,pass,12.0,6.0,0.22331107,14.0,3.0
BUF,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,right,end,,run,5.0,,2.4538898,2.0,4.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-2.0,,-0.9336683,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,0.0,pass,28.0,28.0,2.7737594,12.0,2.0
BUF,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,6.0,-0.5355568,6.0,1.0
BUF,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,right,guard,,run,6.0,,2.0386124,6.0,2.0
BUF,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,middle,,,run,9.0,,0.8810101,10.0,1.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,3.0,,-1.1037158,1.0,2.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,6.0,pass,11.0,5.0,1.071356,8.0,2.0
BUF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,-3.0,,-1.0205346,10.0,1.0
BUF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,9.0,pass,7.0,-2.0,0.09482724,13.0,2.0
