posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,6.0,,0.23689157,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,1.0,-2.0,-0.68668544,4.0,2.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,24.0,-1.8376349,3.0,3.0
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.20828736,10.0,1.0
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.58802795,4.0,2.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,28.0,-1.8616213,3.0,3.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,0.0,pass,5.0,5.0,3.0118382,3.0,4.0
CHI,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,6.0,,0.20571403,5.0,1.0
CHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-19.0,,-2.4311707,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,12.0,-1.1269745,29.0,2.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,-1.0,-5.0,-0.76156837,29.0,3.0
CHI,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,11.0,11.0,0.7192053,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,3.0,pass,9.0,6.0,0.8535242,10.0,1.0
CHI,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,right,end,,run,-3.0,,-1.4113445,1.0,2.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,35.0,-1.5584103,4.0,3.0
CHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,-4.0,,-1.0053681,10.0,1.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,3.0,pass,13.0,10.0,1.0805314,14.0,2.0
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,0.0,,-0.72873765,1.0,3.0
CHI,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,4.0,,1.574815,1.0,4.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,2.0,pass,11.0,9.0,0.57566553,10.0,1.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,4.0,2.0,0.09009827,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,6.0,-0.76302046,6.0,2.0
CHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,0.0,-0.74579436,6.0,3.0
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,5.0,,-0.051305074,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,8.0,-0.834494,5.0,2.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,4.0,pass,12.0,8.0,2.068649,5.0,3.0
CHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,8.0,-0.5154842,10.0,1.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,9.0,-0.9920556,15.0,2.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-10.0,,-1.6441605,20.0,3.0
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-3.0,,-1.3698996,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,1.0,-0.8565911,13.0,2.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,8.0,-1.1135781,13.0,3.0
CHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,1.0,-0.5504183,10.0,1.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.7870329,10.0,2.0
CHI,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,right,end,,run,11.0,,2.2108538,10.0,3.0
CHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,guard,,run,6.0,,0.28269973,10.0,1.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,9.0,pass,7.0,-2.0,0.60944206,4.0,2.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,3.0,pass,8.0,5.0,0.42251357,10.0,1.0
CHI,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,left,guard,,run,4.0,,0.1981086,2.0,2.0
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,5.0,,-0.017789442,10.0,1.0
CHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,-2.0,,-1.1158624,5.0,2.0
CHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,32.0,-2.0709355,2.0,3.0
CHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-7.0,-0.42241547,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,6.0,6.0,-0.2731931,20.0,2.0
CHI,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,left,tackle,,run,5.0,,-0.40616006,14.0,3.0
CHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,2.0,,1.053,0.0,
CHI,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,14.0,,0.8413652,10.0,1.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,13.0,pass,8.0,-5.0,0.5649058,10.0,1.0
CHI,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,20.0,,1.0917532,2.0,2.0
CHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,4.0,,-0.2283105,10.0,1.0
CHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.7236139,6.0,2.0
CHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,-1.0,-3.0,-1.3628386,5.0,3.0
CHI,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,2.0,0.0,-0.32244137,10.0,1.0
CHI,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,-4.0,,-1.4452543,8.0,2.0
