posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
CIN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,-0.003770561,10.0,1.0
CIN,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,pass,-3.0,,-1.1631173,6.0,2.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,7.0,6.0,-0.68562806,9.0,3.0
CIN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,1.0,,-0.49242184,10.0,1.0
CIN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,3.0,,-0.45952326,9.0,2.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,4.0,pass,5.0,1.0,-0.5877482,6.0,3.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,0.0,pass,5.0,5.0,-0.12327532,10.0,1.0
CIN,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,guard,,run,2.0,,-0.3510987,5.0,2.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-5.0,,-1.9799347,3.0,3.0
CIN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,-0.056346655,10.0,1.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,0.0,-3.0,-0.8047049,6.0,2.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,12.0,12.0,1.8254994,6.0,3.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-3.0,-0.4802694,10.0,1.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,4.0,1.0,-0.42865932,10.0,2.0
CIN,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,2.0,,0.52569515,1.0,3.0
CIN,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,left,,,12.0,pass,12.0,0.0,0.7356022,10.0,1.0
CIN,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,middle,,,0.0,pass,5.0,5.0,0.16390191,10.0,1.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,21.0,-0.60276437,5.0,2.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,3.0,pass,7.0,4.0,1.1548413,5.0,3.0
CIN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,-1.0,,-0.797677,10.0,1.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,15.0,-0.7395607,11.0,2.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,6.0,pass,13.0,7.0,-3.7030928,11.0,3.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,5.0,pass,8.0,3.0,0.5688574,10.0,1.0
CIN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,1.0,,-0.32986102,2.0,2.0
CIN,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,2.0,,0.4023495,1.0,3.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,5.0,pass,9.0,4.0,0.84647405,10.0,1.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,4.0,pass,6.0,2.0,0.0685903,1.0,2.0
CIN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,3.0,3.0,-0.22369197,10.0,1.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,5.0,3.0,0.01979793,7.0,2.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,5.0,-1.4540182,2.0,3.0
CIN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,1.0,-2.0,-3.0740843,2.0,4.0
CIN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,7.0,,0.34847134,10.0,1.0
CIN,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,16.0,,1.0721544,3.0,2.0
