posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
DAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-7.0,,-1.2468164,20.0,1.0
DAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,12.0,pass,8.0,-4.0,-0.15567867,27.0,2.0
DAL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,8.0,,-0.26103047,19.0,3.0
DAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,10.0,,0.58068126,10.0,1.0
DAL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,14.0,-0.5017824,10.0,1.0
DAL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,10.0,pass,34.0,24.0,2.7305908,10.0,2.0
DAL,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,16.0,-0.4669991,10.0,1.0
DAL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,5.0,,-0.12185593,10.0,2.0
DAL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,1.0,pass,21.0,20.0,3.202288,5.0,3.0
DAL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,1.0,,-0.5087307,10.0,1.0
DAL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,6.0,pass,6.0,0.0,0.020871863,9.0,2.0
DAL,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,7.0,,1.3316531,3.0,3.0
DAL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,1.0,,-0.40104917,10.0,1.0
DAL,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,3.0,pass,11.0,8.0,1.3452708,9.0,2.0
DAL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,5.0,5.0,-0.005470581,10.0,1.0
