posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
DEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,9.0,,0.6409277,10.0,1.0
DEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,-1.0,,-0.7708644,1.0,2.0
DEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,5.0,-1.5217566,2.0,3.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,3.0,-1.0,-0.23291713,10.0,1.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,6.0,pass,-2.0,-8.0,-0.97629,7.0,2.0
DEN,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,4.0,3.0,-0.9915847,9.0,3.0
DEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,3.0,,-0.23436247,10.0,1.0
DEN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,4.0,,-0.21607748,7.0,2.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,5.0,-1.6444645,3.0,3.0
DEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,2.0,pass,4.0,2.0,-0.07601609,10.0,1.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,7.0,pass,3.0,-4.0,-0.28599414,6.0,2.0
DEN,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,right,end,,run,3.0,,1.0181605,3.0,3.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,25.0,-0.50057626,10.0,1.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,11.0,pass,9.0,-2.0,0.764594,10.0,2.0
DEN,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,4.0,,0.64259654,1.0,3.0
DEN,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,12.0,,0.90161985,10.0,1.0
DEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,4.0,,-0.046849918,10.0,1.0
DEN,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,7.0,,0.86711025,6.0,2.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,3.0,0.0,-0.3324046,10.0,1.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,-2.0,-6.0,-0.7991583,7.0,2.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,20.0,-2.911558,9.0,3.0
DEN,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,middle,,,run,4.0,,-0.097187154,10.0,1.0
DEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,1.0,-0.76821995,6.0,2.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,14.0,-1.2792617,6.0,3.0
DEN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,1.0,,-0.46939933,14.0,1.0
DEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,2.0,,-0.58676374,13.0,2.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,11.0,-0.57336026,11.0,3.0
DEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,12.0,-0.49419206,10.0,1.0
DEN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,1.0,,-0.4613744,10.0,2.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,1.0,pass,3.0,2.0,-0.9362054,9.0,3.0
DEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.7073386,10.0,1.0
DEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,4.0,pass,0.0,-4.0,-0.53829217,8.0,2.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,middle,,,1.0,pass,17.0,16.0,1.9713447,8.0,3.0
DEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,4.0,,-0.13149923,10.0,1.0
DEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,11.0,-0.4332102,6.0,2.0
DEN,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,pass,-6.0,,-1.8519559,6.0,3.0
DEN,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,1.0,,-0.24490485,10.0,1.0
