posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
GB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,-1.0,,-0.67173475,10.0,1.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,5.0,4.0,-0.0994399,11.0,2.0
GB,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,7.0,pass,19.0,12.0,2.5589213,6.0,3.0
GB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,4.0,,-0.14859623,10.0,1.0
GB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,0.0,,-0.8795381,6.0,2.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,38.0,-2.2300153,6.0,3.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-5.0,,0.4452039,10.0,1.0
GB,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,0.0,,-0.46608946,10.0,1.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,8.0,-0.4755085,20.0,2.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,14.0,pass,9.0,-5.0,0.0024763849,20.0,3.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,13.0,pass,9.0,-4.0,0.2966312,20.0,1.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,10.0,7.0,1.1801128,11.0,2.0
GB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,-1.0,,-2.2305899,1.0,3.0
GB,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,2.0,,2.9592335,2.0,4.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,7.0,pass,8.0,1.0,0.7082759,13.0,1.0
GB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,5.0,-1.0042385,5.0,2.0
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,5.0,-1.1695884,5.0,3.0
GB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,20.0,-0.5477284,10.0,1.0
GB,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,14.0,,1.5197731,10.0,2.0
GB,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,5.0,,0.08031371,10.0,1.0
GB,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,18.0,,1.5538877,5.0,2.0
GB,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,33.0,,3.380992,10.0,1.0
GB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,run,0.0,,-0.947,0.0,
GB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-2.0,-0.49079624,10.0,1.0
