posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,5.0,-0.5363645,10.0,1.0
HOU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,1.0,,-0.8865687,10.0,2.0
HOU,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,middle,,,run,13.0,,0.5066464,14.0,3.0
HOU,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,2.0,pass,3.0,1.0,2.4698064,1.0,4.0
HOU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-8.0,,-1.6182756,10.0,1.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,9.0,pass,7.0,-2.0,-0.36985084,18.0,2.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,6.0,pass,10.0,4.0,0.35966033,11.0,3.0
HOU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,4.0,1.0,-0.13502422,10.0,1.0
HOU,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,11.0,,1.0668098,6.0,2.0
HOU,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,deep,right,,,7.0,pass,23.0,16.0,1.6602936,10.0,1.0
HOU,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,middle,,,0.0,pass,2.0,2.0,-0.37196523,10.0,1.0
HOU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,3.0,,-0.12613484,8.0,2.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-5.0,,-1.7509528,5.0,3.0
HOU,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.30753854,10.0,1.0
HOU,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,3.0,,-0.047978505,4.0,2.0
HOU,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,4.0,,0.72193843,1.0,3.0
HOU,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,deep,middle,,,2.0,pass,55.0,53.0,3.5198817,10.0,1.0
HOU,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,4.0,,-0.2788244,10.0,1.0
HOU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,9.0,-0.74495846,6.0,2.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,3.0,pass,9.0,6.0,2.9219408,6.0,3.0
HOU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,run,0.0,,-0.947,0.0,
HOU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,8.0,,0.471877,10.0,1.0
HOU,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,0.0,-0.87430507,2.0,2.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-7.0,,-1.7641782,7.0,3.0
HOU,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,8.0,,0.054170646,10.0,1.0
HOU,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,13.0,,0.6416485,2.0,2.0
HOU,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,4.0,,-0.12694354,10.0,1.0
HOU,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,1.0,pass,8.0,7.0,0.44494894,6.0,2.0
HOU,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,5.0,5.0,0.04357338,10.0,1.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,23.0,-0.41119197,5.0,2.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,8.0,pass,16.0,8.0,0.9187861,5.0,3.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,0.0,pass,7.0,7.0,-1.8032031,10.0,1.0
HOU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,0.0,,-0.49150297,10.0,1.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,5.0,pass,10.0,5.0,1.1673207,10.0,2.0
HOU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.53951305,10.0,1.0
HOU,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,8.0,,0.44309253,10.0,2.0
HOU,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,1.0,pass,11.0,10.0,1.5308048,2.0,3.0
HOU,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,39.0,-0.5648325,10.0,1.0
