posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
IND,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,5.0,,0.068666026,10.0,1.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,13.0,13.0,1.0388398,5.0,2.0
IND,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,end,,run,-2.0,,-0.8464116,10.0,1.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,7.0,pass,6.0,-1.0,-0.25761142,12.0,2.0
IND,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,5.0,,-0.40966502,6.0,3.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,7.0,-3.7537875,1.0,4.0
IND,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,8.0,,0.48276004,10.0,1.0
IND,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,5.0,,0.27084297,2.0,2.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,middle,,,2.0,pass,60.0,58.0,4.617578,10.0,1.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,4.0,4.0,-0.23794536,10.0,1.0
IND,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,14.0,-0.7940159,6.0,2.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-11.0,,-2.6444232,6.0,3.0
IND,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,13.0,,0.8195948,10.0,1.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,2.0,-1.0,-0.44334006,10.0,1.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,14.0,-0.8636624,8.0,2.0
IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,13.0,-1.5895702,8.0,3.0
IND,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,1.0,,-0.40007278,10.0,1.0
IND,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,-0.22956112,9.0,2.0
IND,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,middle,,,run,19.0,,1.9688694,5.0,3.0
IND,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,5.0,,0.19478554,10.0,1.0
