posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,7.0,pass,11.0,4.0,0.7019054,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-0.48364595,10.0,1.0
KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,4.0,,-0.54029435,10.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,12.0,pass,16.0,4.0,3.200758,6.0,3.0
KC,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,21.0,,2.1851337,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,27.0,pass,23.0,-4.0,1.610851,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,16.0,pass,19.0,3.0,1.0831966,10.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,1.0,,-0.4654205,10.0,1.0
KC,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,1.0,-3.0,-0.85632753,9.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-10.0,,-2.2506602,8.0,3.0
KC,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,11.0,-0.52763736,20.0,1.0
KC,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,1.0,pass,11.0,10.0,0.31761247,20.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,13.0,-0.95603997,9.0,3.0
KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,2.0,,-0.36826736,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,1.0,-1.0,-0.67010516,8.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,3.0,pass,23.0,20.0,3.003668,12.0,3.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,9.0,pass,12.0,3.0,0.8606584,10.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,5.0,,0.17814106,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,3.0,-0.73944813,5.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,13.0,-1.1569725,5.0,3.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,8.0,-3.7975178,10.0,1.0
KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,5.0,,-0.026729593,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,20.0,pass,33.0,13.0,2.9094985,5.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,10.0,pass,25.0,15.0,1.4623067,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,10.0,-0.53642607,20.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,15.0,pass,13.0,-2.0,1.230201,10.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,1.0,,0.4476816,1.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,5.0,,-0.08254496,10.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,2.0,,-0.42738777,5.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,5.0,pass,10.0,5.0,1.8788007,3.0,3.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,11.0,pass,15.0,4.0,0.9046989,10.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,3.0,,-0.2546557,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,13.0,pass,10.0,-3.0,1.029517,7.0,2.0
KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,5.0,,-0.026172528,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,5.0,-0.6904574,5.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-1.0,-1.7773879,5.0,3.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,8.0,5.0,0.5473166,10.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,3.0,,0.084781796,2.0,2.0
KC,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,13.0,13.0,0.675341,10.0,1.0
KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,5.0,,-0.076237686,10.0,1.0
KC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,2.0,,-0.52569425,5.0,2.0
KC,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,left,end,,run,4.0,,1.0219927,3.0,3.0
KC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-0.43088788,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,14.0,pass,35.0,21.0,3.8216782,10.0,2.0
KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,5.0,,-0.12106916,10.0,1.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,13.0,pass,10.0,-3.0,0.692087,10.0,2.0
KC,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.42809054,10.0,1.0
KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-2.0,,-1.0167798,8.0,2.0
KC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,3.0,pass,2.0,-1.0,-0.40306357,10.0,3.0
KC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,1.0,,-0.5212024,10.0,1.0
KC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,11.0,,1.2273177,9.0,2.0
KC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,10.0,pass,5.0,-5.0,0.04112828,10.0,1.0
KC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,12.0,pass,9.0,-3.0,0.70120627,5.0,2.0
KC,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,9.0,,0.59942335,10.0,1.0
KC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,9.0,,0.46919894,1.0,2.0
KC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,6.0,,0.14349744,10.0,1.0
KC,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,8.0,,0.53617626,4.0,2.0
KC,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,8.0,pass,6.0,-2.0,0.2721614,10.0,1.0
KC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,2.0,-0.91615367,4.0,2.0
KC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,3.0,,-0.2698431,4.0,3.0
KC,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,1.0,,2.0454664,1.0,4.0
KC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,0.0,,-0.3514586,2.0,1.0
