posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,-1.0,-2.0,-0.7618686,10.0,1.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,27.0,-0.82003397,11.0,2.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,1.0,pass,-2.0,-3.0,-1.6000158,11.0,3.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,5.0,5.0,-0.0555692,10.0,1.0
LA,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,7.0,pass,11.0,4.0,1.1146988,5.0,2.0
LA,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,7.0,pass,10.0,3.0,0.6606344,10.0,1.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,3.0,pass,8.0,5.0,0.5434325,10.0,1.0
LA,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,2.0,,0.14532317,2.0,2.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,12.0,pass,16.0,4.0,1.0434414,10.0,1.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,4.0,2.0,-0.22162776,10.0,1.0
LA,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,8.0,-0.76842964,6.0,2.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,10.0,pass,15.0,5.0,2.2734008,6.0,3.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,2.0,-0.5085446,10.0,1.0
LA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-8.0,,-1.5623398,10.0,2.0
LA,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,9.0,,0.004567735,23.0,3.0
LA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,7.0,,0.47368848,10.0,1.0
LA,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,4.0,,0.2935671,3.0,2.0
