posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
LAC,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,right,,,13.0,pass,13.0,0.0,0.6857592,10.0,1.0
LAC,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,middle,,,run,6.0,,0.15070169,10.0,1.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,0.0,,-0.84449744,4.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-4.0,,-2.446473,4.0,3.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,3.0,,-0.29962453,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,0.0,pass,6.0,6.0,0.16575344,12.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,31.0,-1.5669107,6.0,3.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.49519935,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,5.0,-1.0427374,18.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,12.0,pass,13.0,1.0,0.0890907,18.0,3.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,4.0,pass,9.0,5.0,0.37256116,15.0,1.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,1.0,,-0.74939775,6.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,1.0,pass,4.0,3.0,-0.79603475,5.0,3.0
LAC,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,right,,,3.0,pass,11.0,8.0,0.62878627,10.0,1.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,-1.0,,-0.77814066,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,5.0,pass,1.0,-4.0,-0.62542516,11.0,2.0
LAC,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,8.0,,-0.51782924,15.0,3.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.07591919,10.0,1.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,0.0,,-0.62082523,4.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,0.0,-4.0,-0.94892865,4.0,3.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,1.0,,-0.5454603,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,11.0,-0.559125,9.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,4.0,4.0,-0.7759027,9.0,3.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.7344044,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,12.0,pass,16.0,4.0,1.7878023,8.0,2.0
LAC,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,4.0,pass,9.0,5.0,0.7799393,10.0,1.0
LAC,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,guard,,run,0.0,,-0.69382626,1.0,2.0
LAC,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,46.0,,3.2063274,1.0,3.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,1.0,,-0.38221344,7.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,6.0,-0.93505263,6.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,6.0,-1.4987695,6.0,3.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,3.0,,-0.2844826,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,2.0,pass,3.0,1.0,-0.43544355,7.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,13.0,-1.7916663,4.0,3.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,8.0,pass,27.0,19.0,1.5199353,10.0,1.0
LAC,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,9.0,-0.5196633,10.0,1.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,1.0,,-0.6047454,10.0,2.0
LAC,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,11.0,11.0,1.9814229,9.0,3.0
LAC,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,10.0,,0.49674022,10.0,1.0
LAC,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,12.0,,1.6829576,10.0,1.0
LAC,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,2.0,-0.59834373,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,2.0,-2.0,-0.62307763,10.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,13.0,-1.408636,8.0,3.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,3.0,,-0.35377207,10.0,1.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,5.0,5.0,0.04708534,7.0,2.0
LAC,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,2.0,,0.63695836,2.0,3.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,7.0,,0.34946868,10.0,1.0
LAC,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,61.0,,4.0866575,3.0,2.0
LAC,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,3.0,,-0.41423538,10.0,1.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,1.0,,-1.1486137,7.0,2.0
LAC,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,5.0,pass,10.0,5.0,3.6381743,6.0,3.0
LAC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,run,0.0,,-0.947,0.0,
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,6.0,pass,3.0,-3.0,-0.21156427,10.0,1.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,5.0,,0.07194994,7.0,2.0
LAC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,11.0,,1.4915429,2.0,3.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,3.0,,-0.22067362,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-0.5993106,10.0,1.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,5.0,pass,11.0,6.0,1.2865691,10.0,2.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,5.0,,0.1842983,10.0,1.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.6601723,10.0,2.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,0.0,pass,29.0,29.0,4.130181,10.0,3.0
LAC,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,16.0,-4.442779,10.0,1.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,3.0,,-0.26577994,10.0,1.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,3.0,pass,7.0,4.0,0.88255924,7.0,2.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,6.0,,0.3968243,10.0,1.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,3.0,,-0.10448536,4.0,2.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-1.766673,1.0,3.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,3.0,pass,7.0,4.0,0.32217094,10.0,1.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-2.0,,-1.1206526,3.0,2.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,24.0,-1.699994,5.0,3.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,9.0,,0.8408389,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-0.48962626,1.0,2.0
LAC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,7.0,,0.7122671,1.0,3.0
LAC,2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,middle,,,run,8.0,,0.66111803,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,4.0,,0.19829263,2.0,2.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.24625501,10.0,1.0
LAC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,6.0,,0.44396743,4.0,2.0
LAC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,13.0,,0.89772815,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.12362201,7.0,1.0
LAC,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,5.0,-0.99693704,5.0,2.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,5.0,5.0,2.8053641,5.0,3.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,8.0,7.0,0.42019767,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.2427346,2.0,2.0
LAC,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,43.0,,4.61592,1.0,3.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,1.0,,0.09041721,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,15.0,,1.1263008,10.0,1.0
LAC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,14.0,,0.91216767,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,3.0,,-0.19714402,10.0,1.0
LAC,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,5.0,3.0,0.15581775,7.0,2.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-1.6183126,2.0,3.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,4.0,,-0.09524241,10.0,1.0
LAC,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,12.0,pass,15.0,3.0,1.3967589,6.0,2.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,11.0,pass,11.0,0.0,0.776844,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,4.0,,-0.18888083,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,2.0,,-0.42170244,6.0,2.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,1.0,pass,9.0,8.0,1.5904768,4.0,3.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,5.0,pass,0.0,-5.0,-0.45727554,10.0,1.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,6.0,,0.024496993,10.0,2.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-4.549785,4.0,3.0
LAC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,4.0,,-0.0436671,10.0,1.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,3.0,-0.7889307,6.0,2.0
LAC,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,9.0,pass,15.0,6.0,3.1379044,6.0,3.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,7.0,,0.30090836,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,0.0,,-0.66027296,3.0,2.0
LAC,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,6.0,,1.3165975,3.0,3.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,1.0,,-0.40097982,10.0,1.0
LAC,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,4.0,,0.047882274,9.0,2.0
