posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
MIA,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,0.0,,-0.57124627,10.0,1.0
MIA,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-3.0,,-1.4195502,10.0,2.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,44.0,pass,39.0,-5.0,4.4099054,13.0,3.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-0.5637039,10.0,1.0
MIA,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,1.0,pass,2.0,1.0,-0.77646416,10.0,2.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,29.0,-1.7635322,8.0,3.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,8.0,-2.2521255,8.0,4.0
MIA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,5.0,,0.08645832,10.0,1.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,2.0,pass,3.0,1.0,-0.23732375,5.0,2.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,9.0,pass,10.0,1.0,1.3215928,2.0,3.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,38.0,-0.5127271,10.0,1.0
MIA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-4.0,-1.1496935,10.0,2.0
