posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,9.0,7.0,0.9446227,10.0,1.0
NE,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,14.0,,0.6583302,1.0,2.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,4.0,,-0.05450692,10.0,1.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,-2.0,,-1.2622449,6.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,5.0,-1.5498658,8.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,7.0,,0.45169976,10.0,1.0
NE,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,left,end,,run,6.0,,0.46125418,3.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,16.0,pass,16.0,0.0,1.099433,10.0,1.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,2.0,,-0.44145474,10.0,1.0
NE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,14.0,-0.8692933,8.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,2.0,pass,9.0,7.0,2.0795975,8.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,8.0,,0.55968565,10.0,1.0
NE,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,3.0,,0.19103098,2.0,2.0
NE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.46118906,10.0,1.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,1.0,pass,10.0,9.0,0.9731687,15.0,2.0
NE,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,left,end,,run,16.0,,1.7626251,5.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,-2.0,,-0.8040904,8.0,1.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,2.0,pass,7.0,5.0,0.14024031,10.0,2.0
NE,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,3.0,,2.3329082,3.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,1.0,,-0.5263121,10.0,1.0
NE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,3.0,-0.69522613,9.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-1.1785471,9.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,16.0,,1.121056,10.0,1.0
NE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,9.0,pass,6.0,-3.0,0.08816855,10.0,1.0
NE,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,17.0,,1.110078,4.0,2.0
NE,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.52758706,10.0,1.0
NE,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,short,left,,,2.0,pass,17.0,15.0,1.676737,9.0,2.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,3.0,,0.05133756,5.0,1.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,0.0,,-0.8503594,2.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,0.0,pass,5.0,5.0,0.047708023,2.0,3.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,12.0,-0.4216019,10.0,1.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,-1.0,,-0.717818,10.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-1.0,,0.19425654,11.0,3.0
NE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,33.0,-0.5403119,10.0,1.0
NE,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,middle,,,run,6.0,,0.008192078,10.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,4.0,-1.6090803,4.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,1.0,,-0.41937998,10.0,1.0
NE,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,3.0,,-0.414111,9.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,3.0,3.0,-0.93665135,6.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,5.0,,0.14095616,10.0,1.0
NE,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,2.0,,-0.5166359,5.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,8.0,-1.6817707,3.0,3.0
NE,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.36312875,10.0,1.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,6.0,6.0,0.16283841,8.0,2.0
NE,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,middle,,,run,6.0,,1.0810527,2.0,3.0
NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,0.0,,-0.48167583,10.0,1.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,15.0,pass,15.0,0.0,1.4883925,10.0,2.0
NE,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,4.0,,-0.16163044,10.0,1.0
NE,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.28425622,6.0,2.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,2.0,pass,9.0,7.0,1.5050291,4.0,3.0
NE,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,2.0,,-0.27616546,10.0,1.0
NE,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,-3.0,-3.0,-1.1429869,8.0,2.0
