posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,2.0,,-0.3465115,10.0,1.0
NYG,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,-6.0,-6.0,-1.7515717,8.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,4.0,-1.077103,19.0,3.0
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-0.49556744,10.0,1.0
NYG,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,3.0,2.0,-0.47979996,10.0,2.0
NYG,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,right,end,,run,7.0,,1.346071,7.0,3.0
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,0.01322773,10.0,1.0
NYG,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.7503427,6.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-1.5956899,5.0,3.0
NYG,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,left,end,,run,4.0,,-0.0022687155,10.0,1.0
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,3.0,,-0.4506997,6.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,0.0,pass,5.0,5.0,1.2252364,3.0,3.0
NYG,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,11.0,-0.4949789,10.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-6.0,-0.8345026,10.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,10.0,pass,25.0,15.0,2.8182282,10.0,3.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,6.0,pass,4.0,-2.0,-0.15095456,15.0,1.0
NYG,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,2.0,,-0.5153024,16.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,8.0,pass,9.0,1.0,-0.4661454,24.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,7.0,-1.41558,15.0,3.0
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,6.0,,0.2941469,10.0,1.0
NYG,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,11.0,-0.71076775,4.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,3.0,pass,8.0,5.0,1.1688591,4.0,3.0
NYG,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,5.0,,-0.063371114,10.0,1.0
NYG,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,3.0,,-0.14464283,5.0,2.0
NYG,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,-1.0,,-1.894184,2.0,3.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,7.0,5.0,0.09265345,10.0,1.0
NYG,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,5.0,-0.20448796,3.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-4.0,,-0.5507628,10.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,11.0,-0.2468907,14.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,10.0,-0.13076493,14.0,3.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,1.0,pass,5.0,4.0,-0.086055145,10.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,2.0,-0.8331143,5.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,5.0,pass,25.0,20.0,2.7803223,5.0,3.0
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,0.0,,-0.5922429,10.0,1.0
NYG,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-2.0,,-1.5091816,10.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,4.0,pass,11.0,7.0,0.93697834,12.0,3.0
NYG,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,1.0,,1.6832585,1.0,4.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,1.0,-0.65570104,19.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-7.0,,-1.293168,19.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,0.0,pass,15.0,15.0,0.05431127,26.0,3.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-7.0,-8.465838,10.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,3.0,-0.5222013,10.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,7.0,7.0,0.0828184,10.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-5.0,-1.7160572,3.0,3.0
NYG,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,19.0,pass,12.0,-7.0,0.61315787,10.0,1.0
NYG,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,1.0,,-0.5841072,10.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,7.0,7.0,0.24905553,9.0,2.0
NYG,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,7.0,,1.025608,2.0,3.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,11.0,11.0,0.49900356,10.0,1.0
NYG,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,13.0,-0.45043957,10.0,1.0
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,2.0,,-0.78499746,10.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,11.0,-1.0353183,8.0,3.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,11.0,-3.2143896,8.0,4.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,18.0,-0.4996424,10.0,1.0
NYG,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,-0.4061801,10.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,0.0,pass,6.0,6.0,1.2845018,6.0,3.0
NYG,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,middle,,,5.0,pass,18.0,13.0,1.0011287,10.0,1.0
NYG,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,5.0,pass,0.0,-5.0,-0.45234147,10.0,1.0
NYG,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,14.0,,1.2222013,10.0,2.0
NYG,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,14.0,pass,9.0,-5.0,0.80904144,10.0,1.0
NYG,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,6.0,,0.0033998715,1.0,2.0
NYG,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,3.0,,-0.25612798,10.0,1.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,0.0,0.0,-0.87326586,7.0,2.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,8.0,-0.9491547,7.0,3.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,5.0,-2.8086271,7.0,4.0
NYG,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,5.0,5.0,-0.13398725,10.0,1.0
NYG,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,0.0,-0.17646956,5.0,2.0
NYG,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,pass,-7.0,,-0.42418197,5.0,3.0
NYG,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,8.0,,0.4689029,10.0,1.0
NYG,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,6.0,,0.35529232,2.0,2.0
NYG,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,-2.0,,-0.96937543,10.0,1.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,3.0,pass,0.0,-3.0,-0.90985894,12.0,2.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,25.0,pass,28.0,3.0,3.3802962,12.0,3.0
NYG,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,6.0,,0.16163209,10.0,1.0
NYG,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,7.0,,1.6933107,4.0,2.0
NYG,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,9.0,pass,7.0,-2.0,0.300963,10.0,1.0
NYG,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,22.0,,1.3042029,3.0,2.0
NYG,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,34.0,-0.41774097,10.0,1.0
NYG,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,2.0,,-0.6460662,10.0,2.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,6.0,-1.5231577,8.0,3.0
NYG,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,0.0,,-0.35834566,10.0,1.0
NYG,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,9.0,pass,13.0,4.0,0.8707145,10.0,2.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,42.0,-0.3066593,10.0,1.0
NYG,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,7.0,pass,11.0,4.0,1.0106672,10.0,2.0
NYG,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,0.0,pass,11.0,11.0,0.5140908,10.0,1.0
NYG,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,9.0,-0.19236532,10.0,1.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,17.0,pass,21.0,4.0,1.5721356,10.0,2.0
NYG,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,middle,,,run,9.0,,0.9269917,10.0,1.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.7017085,1.0,2.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,0.0,pass,4.0,4.0,2.7848277,1.0,3.0
NYG,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-0.947,0.0,
NYG,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,1.0,pass,19.0,18.0,1.3056531,10.0,1.0
NYG,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,11.0,,0.746392,10.0,1.0
NYG,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-3.0,,-1.0058982,10.0,1.0
NYG,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,12.0,,-3.9723907,13.0,2.0
NYG,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-1.0,-0.54126704,10.0,1.0
