posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,4.0,,-0.014722021,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,3.0,,-0.32392013,6.0,2.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,5.0,-1.7406174,3.0,3.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,2.0,0.0,-5.325298,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,0.0,,-0.5710094,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,2.0,,-0.5670141,10.0,2.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,1.0,pass,16.0,15.0,2.4098742,8.0,3.0
NYJ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,-1.0,pass,3.0,4.0,-0.30613333,10.0,1.0
NYJ,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,0.0,,-0.8905827,7.0,2.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,2.0,pass,14.0,12.0,2.2972624,7.0,3.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,17.0,pass,13.0,-4.0,0.9422911,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,3.0,,-0.33183458,10.0,1.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,17.0,-0.6277513,7.0,2.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,1.0,pass,8.0,7.0,1.4905851,7.0,3.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,10.0,pass,8.0,-2.0,0.7676267,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,3.0,,1.2233557,2.0,2.0
NYJ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,45.0,-0.5288192,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,5.0,,-0.28606483,10.0,2.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-5.0,,-1.6282299,5.0,3.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,3.0,,-0.2806451,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,2.0,,-0.4677177,7.0,2.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,2.0,-1.3342793,5.0,3.0
NYJ,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,left,,,11.0,pass,12.0,1.0,0.8460055,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,5.0,,0.14757423,10.0,1.0
NYJ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,6.0,-3.8677099,5.0,2.0
NYJ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,9.0,pass,6.0,-3.0,0.3309535,10.0,1.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,13.0,pass,26.0,13.0,1.8364824,4.0,2.0
NYJ,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,left,guard,,run,2.0,,-0.43652746,10.0,1.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,3.0,-0.7747731,8.0,2.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,middle,,,7.0,pass,36.0,29.0,4.886085,8.0,3.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,run,0.0,,-0.947,0.0,
NYJ,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,3.0,,-0.24691091,10.0,1.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,8.0,pass,14.0,6.0,1.2903594,7.0,2.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,13.0,pass,9.0,-4.0,0.864791,10.0,1.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,6.0,-0.5412031,1.0,2.0
NYJ,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,0.0,,-1.6847149,1.0,3.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,6.0,-2.9822857,1.0,4.0
NYJ,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,3.0,,-0.3575183,10.0,1.0
NYJ,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,16.0,,1.376062,7.0,2.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,6.0,pass,6.0,0.0,0.21085373,10.0,1.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,1.0,pass,6.0,5.0,0.4374911,4.0,2.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,16.0,-0.39841878,10.0,1.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,13.0,pass,9.0,-4.0,0.7978729,10.0,2.0
NYJ,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,8.0,,0.8494885,1.0,3.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,8.0,4.0,0.6381132,10.0,1.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,3.0,-0.4940326,2.0,2.0
NYJ,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,4.0,4.0,0.47445738,2.0,3.0
NYJ,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,7.0,,0.7727782,10.0,1.0
NYJ,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,0.0,pass,3.0,3.0,1.5441996,3.0,2.0
NYJ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-0.947,0.0,
NYJ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.47679678,10.0,1.0
