posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
PHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-5.0,,-1.5051869,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,17.0,-0.6649677,15.0,2.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,31.0,-2.3895621,15.0,3.0
PHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,3.0,,-0.46905163,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,4.0,pass,1.0,-3.0,-0.51045644,7.0,2.0
PHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,run,0.0,,-4.4945493,6.0,3.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,4.0,3.0,-0.1342115,10.0,1.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,5.0,,0.3751545,6.0,2.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,2.0,pass,8.0,6.0,0.8938245,1.0,3.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,2.0,,-0.5391979,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,5.0,pass,8.0,3.0,0.9326541,8.0,2.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,11.0,pass,9.0,-2.0,0.6401547,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.5361034,1.0,2.0
PHI,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,middle,,,run,0.0,,-1.1907908,1.0,3.0
PHI,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,11.0,,0.6850227,10.0,1.0
PHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,-1.0,,-0.82498014,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,0.0,pass,18.0,18.0,2.9783628,11.0,2.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,2.0,,-0.61285794,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,18.0,-0.70781446,8.0,2.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,16.0,pass,20.0,4.0,2.0433815,8.0,3.0
PHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,end,,run,1.0,,-0.56916976,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,12.0,pass,25.0,13.0,2.3570156,9.0,2.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,3.0,pass,5.0,2.0,0.17512654,10.0,1.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,0.11176006,5.0,2.0
PHI,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,2.0,,0.45480928,1.0,3.0
PHI,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,right,guard,,run,11.0,,2.3371804,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,15.0,-0.4765523,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,1.0,pass,13.0,12.0,0.9572122,10.0,2.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,7.0,-0.52999365,10.0,1.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,3.0,,-0.57222,10.0,2.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,19.0,pass,21.0,2.0,1.3810942,7.0,3.0
PHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,middle,,,run,2.0,,-0.45372057,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,31.0,-0.37368226,8.0,2.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,5.0,,0.074145354,8.0,3.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,0.0,pass,7.0,7.0,1.678615,3.0,4.0
PHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,middle,,,run,2.0,,-0.20392253,10.0,1.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,14.0,pass,10.0,-4.0,1.5395631,8.0,2.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-6.0,,-1.2371861,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,7.0,pass,5.0,-2.0,0.18651496,21.0,2.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,3.0,,-0.20063089,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,42.0,pass,67.0,25.0,6.1725893,7.0,2.0
PHI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-4.0,-0.55603325,10.0,1.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,2.0,,-0.59870017,10.0,2.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,pass,-6.0,,-1.9036554,8.0,3.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,8.0,,0.5234521,10.0,1.0
PHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,left,end,,run,0.0,,-0.7662191,2.0,2.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-7.0,-1.7167729,2.0,3.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,8.0,5.0,0.47811037,10.0,1.0
PHI,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,left,guard,,run,5.0,,0.17192863,2.0,2.0
PHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,middle,,,run,9.0,,1.0103703,10.0,1.0
PHI,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,middle,,,run,2.0,,0.9831247,1.0,2.0
PHI,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,34.0,,2.2310152,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,-4.0,-0.43540776,10.0,1.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,6.0,pass,11.0,5.0,1.2489026,10.0,2.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,left,,,4.0,pass,11.0,7.0,0.53194934,10.0,1.0
PHI,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,left,guard,,run,-3.0,,-0.9896587,10.0,1.0
PHI,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,0.0,-0.76251256,13.0,2.0
PHI,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,14.0,-3.3511245,13.0,3.0
PHI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-2.0,,-1.0177712,10.0,1.0
