posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,run,3.0,,-0.30012807,10.0,1.0
PIT,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,6.0,-1.0614766,7.0,2.0
PIT,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,right,end,,run,12.0,,2.0918834,7.0,3.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,-0.084628925,10.0,1.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,4.0,,-0.09867801,6.0,2.0
PIT,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,left,guard,,run,2.0,,0.91988474,2.0,3.0
PIT,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,0.0,-0.5602896,10.0,1.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,2.0,pass,4.0,2.0,-0.46804392,10.0,2.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,2.0,,-0.85798705,6.0,3.0
PIT,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,-5.0,-6.0,-1.2263719,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,tackle,,run,3.0,,-0.6429203,15.0,2.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,12.0,12.0,2.6306741,12.0,3.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,-1.0,,-0.97283375,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,8.0,,0.6082597,11.0,2.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,1.0,pass,3.0,2.0,1.1206273,3.0,3.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,-10.0,,-1.7504455,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,3.0,,-0.8469634,20.0,2.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,5.0,,0.26196033,17.0,3.0
PIT,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,11.0,pass,9.0,-2.0,0.756294,10.0,1.0
PIT,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,right,end,,run,2.0,,-0.041325614,1.0,2.0
PIT,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,left,guard,,run,5.0,,0.11698476,10.0,1.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,4.0,,0.22258992,5.0,2.0
PIT,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,3.0,,0.4699624,1.0,3.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,0.0,pass,2.0,2.0,-0.520724,10.0,1.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,8.0,pass,4.0,-4.0,-0.28475705,13.0,2.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,7.0,pass,9.0,2.0,-0.54964656,19.0,3.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,0.0,pass,7.0,7.0,-0.2283939,10.0,1.0
PIT,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,4.0,pass,5.0,1.0,0.0064128465,3.0,2.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,3.0,pass,33.0,30.0,2.1388988,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,5.0,,0.031359255,10.0,1.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,1.0,,-0.5608855,5.0,2.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-15.0,,-2.9456515,4.0,3.0
PIT,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,1.0,pass,9.0,8.0,0.9114813,10.0,1.0
PIT,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,20.0,-0.63538,1.0,2.0
PIT,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,1.0,,0.47232118,1.0,3.0
PIT,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,left,guard,,run,5.0,,0.08569975,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,2.0,,0.7702846,5.0,2.0
PIT,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,3.0,-0.568416,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,2.0,,-0.8314047,10.0,2.0
PIT,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,4.0,-1.0395644,8.0,3.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,1.0,pass,40.0,39.0,2.7319255,10.0,1.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,4.0,,-0.05836486,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,4.0,,-0.076996304,11.0,2.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,4.0,pass,8.0,4.0,-0.18528523,12.0,3.0
PIT,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,7.0,,0.48397997,10.0,1.0
PIT,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,20.0,,1.2796853,3.0,2.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,1.0,,-0.50681496,10.0,1.0
PIT,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,short,left,,,5.0,pass,10.0,5.0,1.2698438,9.0,2.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,3.0,,-0.23984581,10.0,1.0
PIT,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,8.0,,1.0659385,7.0,2.0
PIT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,4.0,,-0.09693879,10.0,1.0
PIT,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,left,,,1.0,pass,5.0,4.0,0.3142062,6.0,2.0
PIT,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,5.0,,0.73193866,1.0,3.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,2.0,,-0.41110197,10.0,1.0
PIT,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.24556597,8.0,2.0
PIT,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,5.0,pass,1.0,-4.0,-1.0041745,2.0,3.0
