posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
SEA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-7.0,,-1.6353106,10.0,1.0
SEA,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,deep,middle,,,,pass,0.0,18.0,-4.7991056,17.0,2.0
SEA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,8.0,,0.6203077,15.0,1.0
SEA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,5.0,pass,2.0,-3.0,-0.5067877,7.0,2.0
SEA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,28.0,-1.4682157,5.0,3.0
SEA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,3.0,,-0.86939913,10.0,1.0
SEA,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,-3.0,,-0.72063494,17.0,1.0
SEA,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,9.0,5.0,-0.014436128,20.0,2.0
SEA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,2.0,-1.1912422,11.0,3.0
SEA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,4.0,,0.04477482,10.0,1.0
SEA,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,right,,,8.0,pass,9.0,1.0,0.96944696,6.0,2.0
SEA,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,5.0,pass,10.0,5.0,0.37944216,5.0,1.0
SEA,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,3.0,pass,0.0,-3.0,-0.5136944,10.0,1.0
