posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
SF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,2.0,,-0.4265951,10.0,1.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,6.0,5.0,0.25103453,8.0,2.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,24.0,-1.7348181,2.0,3.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,3.0,,-0.2461681,10.0,1.0
SF,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,6.0,-0.708375,7.0,2.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,28.0,-1.6335142,7.0,3.0
SF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,4.0,,-0.14794712,10.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,guard,,run,13.0,,1.2561116,6.0,2.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,5.0,,-0.09712089,10.0,1.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,5.0,-0.85144717,5.0,2.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,0.0,pass,14.0,14.0,1.9049857,5.0,3.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,0.0,,-0.51012987,10.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,5.0,,-0.04468874,10.0,2.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-4.0,,-2.089832,5.0,3.0
SF,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,left,guard,,run,11.0,,0.66162306,10.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,6.0,,0.24593511,10.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,5.0,,0.37842852,4.0,2.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,6.0,,0.18626934,10.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,middle,,,run,9.0,,0.68927836,4.0,2.0
SF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,1.0,,-0.9918565,10.0,1.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,6.0,-0.58182734,19.0,1.0
SF,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,middle,,,4.0,pass,22.0,18.0,2.4404361,19.0,2.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,11.0,,0.079594105,10.0,1.0
SF,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,3.0,,-0.20633173,9.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,11.0,,1.5912348,6.0,2.0
SF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,right,end,,run,2.0,,0.78125304,2.0,1.0
SF,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,6.0,pass,26.0,20.0,1.5928369,10.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,0.0,,-0.52981514,10.0,1.0
SF,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,7.0,,0.08367673,10.0,2.0
