posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,end,,run,4.0,,-0.1196831,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,12.0,pass,5.0,-7.0,0.43637037,6.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,4.0,pass,11.0,7.0,0.6439153,10.0,1.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,5.0,,-0.03634774,10.0,1.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,2.0,,-0.49365136,5.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,right,,,,pass,0.0,18.0,-2.7133174,3.0,3.0
TB,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,short,right,,,1.0,pass,13.0,12.0,0.81902844,10.0,1.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-1.0,,-0.75782776,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,8.0,-0.97627354,11.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,4.0,pass,24.0,20.0,2.7717185,6.0,3.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,0.0,,-0.4583034,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,6.0,pass,5.0,-1.0,-0.77139884,10.0,2.0
TB,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,middle,,,run,2.0,,-0.4063504,15.0,2.0
TB,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,right,end,,run,8.0,,-0.50078005,13.0,3.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,8.0,,0.55079997,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,5.0,pass,5.0,0.0,-0.1668163,12.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,2.0,pass,11.0,9.0,1.9226236,7.0,3.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,-4.0,,-1.0022659,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,right,,,1.0,pass,19.0,18.0,1.8548862,14.0,2.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,-2.0,,-0.82975084,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,25.0,pass,19.0,-6.0,2.025219,12.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,deep,left,,,0.0,pass,17.0,17.0,2.164007,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,3.0,pass,6.0,3.0,0.22774987,10.0,1.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,2.0,,-0.42590848,4.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,0.0,pass,5.0,5.0,0.8779134,2.0,3.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,6.0,,0.21335937,10.0,1.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,1.0,,-1.0115461,4.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,middle,,,6.0,pass,14.0,8.0,1.4756542,3.0,3.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,-3.0,,-0.96639556,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,8.0,pass,7.0,-1.0,0.47050995,13.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,0.0,pass,9.0,9.0,1.4905878,6.0,3.0
TB,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,3.0,,-0.31111348,10.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,9.0,pass,4.0,-5.0,-0.15785645,7.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,11.0,-0.5546539,8.0,3.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,13.0,pass,9.0,-4.0,0.5916748,10.0,1.0
TB,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,15.0,,0.65682,1.0,2.0
TB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,4.0,-0.4388517,10.0,1.0
TB,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,0.0,,-0.7013636,10.0,2.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,left,,,2.0,pass,4.0,2.0,0.92567533,4.0,1.0
TB,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,7.0,-0.560719,10.0,1.0
