posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
TEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,1.0,,-0.4875405,10.0,1.0
TEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,-4.0,-0.79119444,9.0,2.0
TEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,,pass,0.0,5.0,-1.3131481,9.0,3.0
TEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,1.0,,-0.58356136,10.0,1.0
TEN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,right,tackle,,run,1.0,,-0.7063484,14.0,2.0
TEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,1.0,pass,2.0,1.0,-0.82106644,13.0,3.0
TEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,short,right,,,8.0,pass,8.0,0.0,0.7568135,10.0,1.0
TEN,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,right,tackle,,run,7.0,,0.36763558,2.0,2.0
TEN,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,left,end,,run,14.0,,0.89279413,10.0,1.0
TEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,2.0,pass,6.0,4.0,0.16757318,10.0,1.0
TEN,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,short,right,,,11.0,pass,5.0,-6.0,0.45022896,4.0,2.0
TEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,end,,run,6.0,,0.22938189,10.0,1.0
TEN,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,7.0,,0.5961994,4.0,2.0
TEN,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,guard,,run,26.0,,2.6861243,10.0,1.0
TEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,right,guard,,run,4.0,,-0.21017408,10.0,1.0
TEN,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,pass,-3.0,,-0.8499112,6.0,2.0
