posteam,week,pass_attempt,rush_attempt,shotgun,no_huddle,qb_scramble,first_down_rush,first_down_pass,qb_dropback,pass_length,pass_location,run_location,run_gap,yards_after_catch,play_type,yards_gained,air_yards,epa,ydstogo,down
WAS,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,run,0.0,,-2.2131672,10.0,1.0
WAS,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,left,,,9.0,pass,4.0,-5.0,-0.35281298,25.0,2.0
WAS,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,left,end,,run,4.0,,-0.78138083,21.0,3.0
WAS,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,middle,,,run,2.0,,-0.36482427,10.0,1.0
WAS,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,right,end,,run,9.0,,1.0633707,8.0,2.0
WAS,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,left,tackle,,run,-1.0,,-0.78120893,10.0,1.0
WAS,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,1.0,pass,7.0,6.0,0.2898541,11.0,2.0
WAS,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,left,end,,run,17.0,,2.0822184,4.0,3.0
WAS,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,short,right,,,4.0,pass,0.0,-4.0,-0.5114295,10.0,1.0
WAS,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,right,end,,run,4.0,,-0.22340117,10.0,2.0
WAS,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,11.0,pass,13.0,2.0,0.51419294,6.0,3.0
WAS,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,right,,,,pass,0.0,9.0,-1.5267943,3.0,3.0
WAS,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,2.0,,-0.42023894,10.0,1.0
WAS,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,left,end,,run,16.0,,1.5198439,8.0,2.0
WAS,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,-3.0,-0.45712328,10.0,1.0
WAS,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,short,middle,,,20.0,pass,22.0,2.0,1.8213842,10.0,2.0
WAS,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,31.0,-0.62692934,10.0,1.0
WAS,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,right,guard,,run,12.0,,1.9490125,10.0,2.0
WAS,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,left,guard,,run,4.0,,-0.06521111,10.0,1.0
WAS,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,left,tackle,,run,7.0,,2.240125,6.0,2.0
WAS,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deep,left,,,,pass,0.0,46.0,-0.60239583,10.0,1.0
WAS,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,short,middle,,,,pass,0.0,7.0,-1.1970978,10.0,2.0
