player_name,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,Name,Position,Age,YOE,Prev Team,AAV,Type
Keenan Allen,2024,REG,70,121,744.0,7,1.0,0.0,1115.0,240.0,43.0,23.16483989555049,0,13.138534043433602,3.9753152352731083,4.777649076568629,9.307327206507702,114.4,184.4,15,32.0,11,74.0,211,Keenan Allen,WR,32.8,12.0,CHI,20025000,UFA
Robert Woods,2024,REG,20,30,203.0,0,3.0,1.0,284.0,73.0,12.0,0.9846309969664491,0,9.211095592503307,0.9131768400101755,0.9971248430380422,2.067752650141893,18.3,38.3,12,32.0,11,72.0,193,Robert Woods,WR,32.8,12.0,HOU,7625000,UFA
DeAndre Hopkins,2024,REG,56,80,610.0,5,1.0,0.0,896.0,109.0,35.0,19.209225964236232,0,11.285996671611127,2.3191714930481973,3.7987275885204985,6.137866551536645,91.0,147.0,16,32.0,11,73.0,212,DeAndre Hopkins,WR,32.7,12.0,KC,13000000,UFA
Brandin Cooks,2024,REG,26,54,259.0,3,0.0,0.0,634.0,55.0,19.0,-11.122766286566897,0,5.751777715446384,1.657721592430076,2.4672794536240956,4.213678006181981,43.6,69.6,10,30.0,10,70.0,183,Brandin Cooks,WR,31.3,11.0,DAL,19882000,UFA
Allen Robinson,2024,REG,3,7,30.0,0,0.0,0.0,51.0,4.0,3.0,1.337494010900049,0,2.7416267942583734,0.2559302704463995,0.34067428899501184,0.6223674079661075,3.0,6.0,6,31.0,10,74.0,220,Allen Robinson,WR,31.4,11.0,DET,1210000,UFA
Amari Cooper,2024,REG,44,85,547.0,4,0.0,0.0,1161.0,111.0,24.0,6.906823084573158,0,8.483874416281513,2.690523731874312,4.356081451842356,7.085042614101117,78.7,122.7,13,30.0,9,73.0,211,Amari Cooper,WR,30.6,10.0,BUF,20000000,UFA
Nelson Agholor,2024,REG,14,29,231.0,2,0.0,0.0,387.0,85.0,10.0,7.0902632428853565,0,16.137290401110278,1.0569629078597358,1.6359130383518186,2.730583488635877,35.1,49.1,13,31.0,9,72.0,198,Nelson Agholor,WR,31.7,10.0,BAL,3750000,UFA
Stefon Diggs,2024,REG,47,64,496.0,3,0.0,0.0,556.0,185.0,31.0,18.081069017473652,0,9.639518074947317,1.9526569063590702,2.3482620631457003,4.572768803740595,74.92,121.92,8,30.0,9,72.0,191,Stefon Diggs,WR,31.2,10.0,HOU,22520000,UFA
Jamison Crowder,2024,REG,9,13,72.0,2,0.0,0.0,108.0,11.0,4.0,2.0736022491999746,0,1.9523809523809523,0.3924091141833077,0.3997137702246537,0.8684133104322191,19.2,28.2,4,31.0,9,69.0,177,Jamison Crowder,WR,31.6,10.0,WAS,1310000,UFA
Chris Conley,2024,REG,6,12,76.0,0,0.0,0.0,207.0,19.0,3.0,-1.8939166229683906,0,4.421985815602836,0.3706943952105243,0.7441363109785556,1.0769370105007754,7.6000000000000005,13.6,7,31.0,9,75.0,205,Chris Conley,WR,32.2,10.0,SF,1550000,UFA
Sterling Shepard,2024,REG,32,51,334.0,1,0.0,0.0,473.0,99.0,16.0,14.565427973854899,1,9.727801160231328,1.5227304059211837,2.2245592442404134,3.8412870798500647,48.300000000000004,80.3,13,31.0,8,70.0,201,Sterling Shepard,WR,32.0,9.0,TB,1210000,UFA
Demarcus Robinson,2024,REG,31,64,505.0,7,0.0,0.0,983.0,71.0,27.0,10.128387025030207,0,7.741325017410342,1.9476481673815862,4.282320308564567,5.919096467067575,92.5,123.5,17,29.0,8,73.0,203,Demarcus Robinson,WR,30.3,9.0,LAR,4000000,UFA
Tyler Boyd,2024,REG,39,57,390.0,0,0.0,0.0,420.0,189.0,20.0,3.8258736898387156,0,21.494144427262874,1.8845962279233337,1.8072974583553312,4.092002562733732,39.300000000000004,78.3,15,29.0,8,74.0,203,Tyler Boyd,WR,30.2,9.0,TEN,2400000,UFA
Tim Patrick,2024,REG,33,44,394.0,3,0.0,0.0,439.0,141.0,20.0,18.695532686152028,1,14.743854939796256,1.336772789102329,2.255969676859657,3.5843379574552534,59.400000000000006,92.4,15,30.0,7,76.0,212,Tim Patrick,WR,31.2,7.0,DET,1125000,UFA
Mike Williams,2024,REG,21,34,298.0,1,0.0,0.0,518.0,35.0,14.0,15.48235466580683,0,9.254194997701976,1.0619062864195947,2.2108685483721637,3.1404674134899064,35.800000000000004,56.8,13,29.0,7,76.0,218,Mike Williams,WR,30.3,8.0,PIT,10000000,UFA
Mack Hollins,2024,REG,31,50,378.0,5,0.0,0.0,649.0,90.0,25.0,24.44057267723045,0,11.174183633674744,1.6879953827362337,2.391220555116681,4.205847462686028,67.8,98.8,16,30.0,7,76.0,221,Mack Hollins,WR,31.3,8.0,BUF,2600000,UFA
David Moore,2024,REG,32,57,351.0,3,0.0,0.0,631.0,60.0,18.0,8.29301634245876,0,9.480138771246986,1.834771397794947,2.438266450149689,4.458943611797203,53.1,85.10000000000001,14,29.0,7,72.0,215,David Moore,WR,30.0,6.0,CAR,1125000,UFA
Noah Brown,2024,REG,35,56,453.0,1,0.0,0.0,637.0,83.0,21.0,12.031629731719002,0,9.12873745636588,1.913101676540002,3.060719150173586,5.012155919931513,51.300000000000004,86.30000000000001,11,28.0,7,74.0,225,Noah Brown,WR,29.1,8.0,WAS,1210000,UFA
JuJu Smith-Schuster,2024,REG,18,26,231.0,2,0.0,0.0,143.0,155.0,11.0,1.2846852903427872,0,15.313630229419703,0.794872135961281,0.7926720171136051,1.747178615921445,35.1,53.1,11,27.0,7,73.0,215,JuJu Smith-Schuster,WR,28.2,8.0,KC,1210000,UFA
Zay Jones,2024,REG,8,11,84.0,0,0.0,0.0,119.0,19.0,5.0,-0.47508573124650866,0,3.230952380952381,0.33366489598875,0.6010886954342924,0.9212594307871296,8.4,16.400000000000002,6,29.0,7,74.0,200,Zay Jones,WR,29.8,8.0,ARI,2250000,UFA
Chris Godwin,2024,REG,50,62,576.0,5,1.0,0.0,356.0,350.0,32.0,35.511457796120396,0,12.045786463278723,1.971569771058853,2.0736919616100313,4.408939029715301,87.80000000000001,137.8,7,28.0,7,73.0,209,Chris Godwin,WR,28.9,8.0,TB,20000000,UFA
River Cracraft,2024,REG,7,9,66.0,0,0.0,0.0,71.0,11.0,4.0,4.595730058965273,0,3.741595925297114,0.2721899939641875,0.3509940288238977,0.6539808111230097,6.6000000000000005,13.600000000000001,4,29.0,7,72.0,200,River Cracraft,WR,30.2,6.0,MIA,1240000,UFA
Marquez Valdes-Scantling,2024,REG,19,44,411.0,4,0.0,0.0,765.0,143.0,14.0,10.253649778934477,0,6.172236486037731,1.4904654189043778,3.238803569894273,4.5028606272825575,65.5,84.5,13,29.0,6,76.0,207,Marquez Valdes-Scantling,WR,30.3,7.0,NO,1125000,UFA
Justin Watson,2024,REG,22,32,289.0,2,0.0,0.0,486.0,68.0,13.0,19.086959395985367,0,13.165940968687954,1.024190904240227,2.237224812145197,3.1023437248619787,40.9,62.9,15,28.0,6,74.0,215,Justin Watson,WR,29.8,7.0,KC,1700000,UFA
